茧盎	jianang,ja
茧薄	jianbao,jb
茧卜	jianbu,jb
茧蚕	jiancan,jc
茧绸	jianchou,jc
茧犊	jiandu,jd
茧观	jianguan,jg
茧馆	jianguan,jg
茧茧	jian,j
茧栗	jianli,jl
茧栗犊	jianlidu,jld
茧栗角	jianlijiao,jlj
茧眉	jianmei,jm
茧税	jianshui,js
茧丝	jiansi,js
茧丝牛毛	jiansiniumao,jsnm
茧糖	jiantang,jt
茧瓮	jianweng,jw
茧物	jianwu,jw
茧衣	jianyi,jy
茧纸	jianzhi,jz
茧子	jianzi,jz
