瘠薄	jibo,jb
瘠惫	jibei,jb
瘠贬	jibian,jb
瘠瘁	jicui,jc
瘠地	jidi,jd
瘠觳	jihu,jh
瘠己肥人	jifeiren,jfr
瘠枯	jiku,jk
瘠苦	jiku,jk
瘠漓	jili,jl
瘠立	jili,jl
瘠卤	jilu,jl
瘠墨	jimo,jm
瘠馁	jinei,jn
瘠牛偾豚	jiniufentun,jnft
瘠牛羸豚	jiniuleitun,jnlt
瘠疲	jipi,jp
瘠贫	jipin,jp
瘠气	jiqi,jq
瘠弃	jiqi,jq
瘠硗	jiqiao,jq
瘠壤	jirang,jr
瘠人肥己	jirenfei,jrf
瘠弱	jiruo,jr
瘠色	jise,js
瘠瘦	jishou,js
瘠田	jitian,jt
瘠土	jitu,jt
瘠亡	jiwang,jw
瘠狭	jixia,jx
瘠形	jixing,jx
瘠颜	jiyan,jy
瘠义肥辞	jiyifeici,jyfc
瘠瘵	jizhai,jz
