榆次	yuci,yc
榆次区	yuciqu,ycq
榆次之辱	yucizhiru,yczr
榆枋之见	yufangzhijian,yfzj
榆林	yulin,yl
榆林地区	yulindiqu,yldq
榆林市	yulinshi,yls
榆瞑豆重	yumingdouzhong,ymdz
榆木	yumu,ym
榆木圪垯	yumugeda,ymgd
榆木疙瘩	yumugeda,ymgd
榆木脑袋	yumunaodai,ymnd
榆木脑壳	yumunaoke,ymnk
榆钱	yuqian,yq
榆社	yushe,ys
榆社县	yushexian,ysx
榆树	yushu,ys
榆树市	yushushi,yss
榆罔	yuwang,yw
榆阳	yuyang,yy
榆阳区	yuyangqu,yyq
榆叶梅	yuyemei,yym
榆中	yuzhong,yz
榆中县	yuzhongxian,yzx
