健拔	jianba,jb
健保	jianbao,jb
健笔	jianbi,jb
健步	jianbu,jb
健步如飞	jianburufei,jbrf
健存	jiancun,jc
健啖	jiandan,jd
健倒	jiandao,jd
健斗	jiandou,jd
健犊	jiandu,jd
健儿	jianer,je
健饭	jianfan,jf
健夫	jianfu,jf
健妇	jianfu,jf
健鹘	jianhu,jh
健毫	jianhao,jh
健翮	jianhe,jh
健疾	jianji,jj
健检	jian,j
健剑	jian,j
健将	jianjiang,jj
健节	jianjie,jj
健捷	jianjie,jj
健举	jianju,jj
健决	jianjue,jj
健康	jiankang,jk
健康保险	jiankangbaoxian,jkbx
健康地	jiankangde,jkd
健康地成长	jiankangdechengzhang,jkdcz
健康地发展	jiankangdefazhan,jkdfz
健康地活着	jiankangdehuozhe,jkdhz
健康检查	jiankangcha,jkc
健康食品	jiankangshipin,jksp
健康受损	jiankangshousun,jkss
健康状况	jiankangzhuangkuang,jkzk
健朗	jianlang,jl
健浪	jianlang,jl
健吏	jianli,jl
健马	jianma,jm
健美	jianmei,jm
健美操	jianmeicao,jmc
健美运动	jianmeiyundong,jmyd
健名	jianming,jm
健仆	jianpu,jp
健强	jianqiang,jq
健全	jianquan,jq
健全地	jianquande,jqd
健舌	jianshe,js
健身	jianshen,js
健身操	jianshencao,jsc
健身房	jianshenfang,jsf
健身馆	jianshenguan,jsg
健身器	jianshenqi,jsq
健身室	jianshenshi,jss
健实	jianshi,js
健爽	jianshuang,js
健水	jianshui,js
健硕	jianshuo,js
健讼	jiansong,js
健谈	jiantan,jt
健驮罗	jiantuoluo,jtl
健陀罗	jiantuoluo,jtl
健忘	jianwang,jw
健忘地	jianwangde,jwd
健忘症	jianwangzheng,jwz
健旺	jianwang,jw
健胃	jianwei,jw
健慰器	jianweiqi,jwq
健武	jianwu,jw
健舞	jianwu,jw
健傄	jianxia,jx
健侠	jianxia,jx
健黠	jianxia,jx
健羡	jianxian,jx
健行	jianxing,jx
健仰	jianyang,jy
健怡可乐	jianyikele,jykl
健翼	jianyi,jy
健勇	jianyong,jy
健在	jianzai,jz
健诊	jianzhen,jz
健壮	jianzhuang,jz
健壮地	jianzhuangde,jzd
健糉	jianzong,jz
健足	jianzu,jz
健卒	jianzu,jz
