越帮越忙	yuebangmang,ybm
越搀越醉	yuechanzui,ycz
越尝	yuechang,yc
越常	yuechang,yc
越城	yuecheng,yc
越城岭	yuechengling,ycl
越城区	yuechengqu,ycq
越出界线	yuechujiexian,ycjx
越处子	yuechuzi,ycz
越瓷	yueci,yc
越次	yueci,yc
越次超伦	yuecichaolun,yccl
越大夫	yuedaifu,ydf
越赕	yuedan,yd
越腅	yuedan,yd
越等	yuedeng,yd
越砥	yuedi,yd
越冬	yuedong,yd
越冬作物	yuedongzuowu,ydzw
越度	yuedu,yd
越发	yuefa,yf
越法	yuefa,yf
越凡遗世	yuefanyishi,yfys
越方	yuefang,yf
越飞	yuefei,yf
越分	yuefen,yf
越凫楚乙	yuefuchuyi,yfcy
越扶越醉	yuefuzui,yfz
越绋	yuefu,yf
越格	yuege,yg
越公	yuegong,yg
越共	yuegong,yg
越古超今	yueguchaojin,ygcj
越瓜	yuegua,yg
越官	yueguan,yg
越管	yueguan,yg
越光米	yueguangmi,ygm
越轨	yuegui,yg
越国	yueguo,yg
越过	yueguo,yg
越号	yuehao,yh
越货	yuehuo,yh
越鸡	yueji,yj
越跻	yueji,yj
越级	yueji,yj
越瘠秦视	yuejiqinshi,yjqs
越暨	yueji,yj
越加	yuejia,yj
越甲鸣君	yuejiamingjun,yjmj
越践	yuejian,yj
越箭	yuejian,yj
越角	yuejiao,yj
越徼	yuejiao,yj
越界	yuejie,yj
越劲	yuejin,yj
越竟	yuejing,yj
越境	yuejing,yj
越局	yueju,yj
越橘	yueju,yj
越剧	yueju,yj
越绝	yuejue,yj
越爵	yuejue,yj
越客	yueke,yk
越口	yuekou,yk
越来越	yuelai,yl
越来越多地	yuelaiduode,yldd
越牢	yuelao,yl
越蠡	yueli,yl
越礼	yueli,yl
越理	yueli,yl
越裂	yuelie,yl
越躐	yuelie,yl
越凌	yueling,yl
越淩	yueling,yl
越録	yuelu,yl
越罗	yueluo,yl
越梅	yuemei,ym
越描越黑	yuemiaohei,ymh
越名	yueming,ym
越明	yueming,ym
越貊	yuemo,ym
越南	yuenan,yn
越南刺鳑鲏	yuenancipangpi,yncpp
越南盾	yuenandun,ynd
越南民主共和国	yuenanminzhugongheguo,ynmzghg
越南文	yuenanwen,ynw
越南语	yuenanyu,yny
越南战争	yuenanzhanzheng,ynzz
越鸟	yueniao,yn
越鸟南栖	yueniaonanqi,ynnq
越女	yuenu,yn
越诺	yuenuo,yn
越瓯	yueou,yo
越骑	yueqi,yq
越旗	yueqi,yq
越气	yueqi,yq
越器	yueqi,yq
越侨	yueqiao,yq
越秦	yueqin,yq
越禽	yueqin,yq
越权	yuequan,yq
越人	yueren,yr
越人肥瘠	yuerenfeiji,yrfj
越若	yueruo,yr
越睒	yueshan,ys
越裳	yuechang,yc
越裳氏	yuechangshi,ycs
越石	yueshi,ys
越石父	yueshifu,ysf
越世	yueshi,ys
越是	yueshi,ys
越瘦秦肥	yueshouqinfei,ysqf
越瘦吴肥	yueshouwufei,yswf
越思	yuesi,ys
越俗	yuesu,ys
越诉	yuesu,ys
越台	yuetai,yt
越桃	yuetao,yt
越藤	yueteng,yt
越橐	yuetuo,yt
越外	yuewai,yw
越王勾践	yuewanggoujian,ywgj
越王鸟	yuewangniao,ywn
越王蛇	yuewangshe,yws
越王台	yuewangtai,ywt
越王头	yuewangtou,ywt
越王余筭	yuewangyusuan,ywys
越王余算	yuewangyusuan,ywys
越王约发	yuewangfa,ywf
越王竹	yuewangzhu,ywz
越位	yuewei,yw
越文	yuewen,yw
越巫	yuewu,yw
越吴	yuewu,yw
越西	yuexi,yx
越西县	yuexixian,yxx
越溪	yuexi,yx
越豨	yuexi,yx
越席	yuexi,yx
越先	yuexian,yx
越舷地	yuexiande,yxd
越陷越深	yuexianshen,yxs
越乡	yuexiang,yx
越相	yuexiang,yx
越香	yuexiang,yx
越泄	yuexie,yx
越渫	yuexie,yx
越信	yuexin,yx
越行	yuexing,yx
越秀	yuexiu,yx
越秀区	yuexiuqu,yxq
越芽	yueya,yy
越演越烈	yueyanlie,yyl
越艳	yueyan,yy
越燕	yueyan,yy
越样	yueyang,yy
越窑	yueyao,yy
越野	yueye,yy
越野车	yueyeche,yyc
越野跑	yueyepao,yyp
越野赛	yueyesai,yys
越野赛跑	yueyesaipao,yysp
越泆	yueyi,yy
越轶	yueyi,yy
越逸	yueyi,yy
越溢	yueyi,yy
越翳	yueyi,yy
越吟	yueyin,yy
越影	yueying,yy
越踰	yueyu,yy
越狱	yueyu,yy
越狱犯	yueyufan,yyf
越远	yueyuan,yy
越越	yue,y
越早	yuezao,yz
越战	yuezhan,yz
越长	yuechang,yc
越障	yuezhang,yz
越职	yuezhi,yz
越志	yuezhi,yz
越雉	yuezhi,yz
越种	yuezhong,yz
越俎	yuezu,yz
越俎代谋	yuezudaimou,yzdm
越俎代庖	yuezudaipao,yzdp
越樽	yuezun,yz
