忆逼	yibi,yb
忆莼	yichun,yc
忆莼菜	yichuncai,ycc
忆莼羹	yichungeng,ycg
忆莼鲈	yichunlu,ycl
忆戴	yidai,yd
忆度	yidu,yd
忆鹤华亭	yihehuating,yhht
忆黄犬	yihuangquan,yhq
忆记	yiji,yj
忆江南	yijiangnan,yjn
忆酒垆	yijiulu,yjl
忆苦饭	yikufan,ykf
忆苦思甜	yikusitian,ykst
忆鲙	yikuai,yk
忆恋	yilian,yl
忆鲈	yilu,yl
忆鲈鱼	yiluyu,yly
忆念	yinian,yn
忆秦娥	yiqine,yqe
忆识	yishi,ys
忆述	yishu,ys
忆王孙	yiwangsun,yws
忆昔抚今	yixifujin,yxfj
忆想	yixiang,yx
