德安	dean,da
德安县	deanxian,dax
德昂	deang,da
德昂族	deangzu,daz
德班	deban,db
德薄	debo,db
德薄才疏	debocaishu,dbcs
德薄才鲜	debaocaixian,dbcx
德薄能鲜	debonengxian,dbnx
德保	debao,db
德保县	debaoxian,dbx
德碑	debei,db
德本	deben,db
德本财末	debencaimo,dbcm
德庇	debi,db
德便	debian,db
德彪西	debiaoxi,dbx
德表	debiao,db
德柄	debing,db
德不配位	debupeiwei,dbpw
德布勒森	debulesen,dbls
德才	decai,dc
德才兼备	decaijianbei,dcjb
德操	decao,dc
德昌	dechang,dc
德昌县	dechangxian,dcx
德车	deche,dc
德称	decheng,dc
德城	decheng,dc
德城区	dechengqu,dcq
德齿	dechi,dc
德川	dechuan,dc
德川家康	dechuanjiakang,dcjk
德川幕府	dechuanmufu,dcmf
德赐	deci,dc
德道	dedao,dd
德都	dedu,dd
德都县	deduxian,ddx
德度	dedu,dd
德法	defa,df
德法年鉴	defanianjian,dfnj
德藩	defan,df
德范	defan,df
德风	defeng,df
德干	degan,dg
德干高原	degangaoyuan,dggy
德高望重	degaowangzhong,dgwz
德高望尊	degaowangzun,dgwz
德格	dege,dg
德格县	degexian,dgx
德功	degong,dg
德古拉	degula,dgl
德古西加巴	deguxijiaba,dgxjb
德贵丽类	deguililei,dgll
德国	deguo,dg
德国标准化学会	deguobiaozhunhuaxuehui,dgbzhxh
德国古典哲学	deguogudianzhexue,dggdzx
德国汉莎航空公司	deguohanshahangkonggongsi,dghshkgs
德国麻疹	deguomazhen,dgmz
德国马克	deguomake,dgmk
德国农民战争	deguonongminzhanzheng,dgnmzz
德国人	deguoren,dgr
德国十一月革命	deguoshiyiyuegeming,dgsyygm
德国酸菜	deguosuancai,dgsc
德国统一社会党	deguotongyishehuidang,dgtyshd
德国学术交流总署	deguoxueshujiaoliuzong,dgxsjlz
德国战车	deguozhanche,dgzc
德国之声	deguozhisheng,dgzs
德海	dehai,dh
德航	dehang,dh
德号	dehao,dh
德黑兰	deheilan,dhl
德黑兰会议	deheilanhuiyi,dhlhy
德宏	dehong,dh
德宏傣族景颇族自治州	dehongdaizujingpozizhizhou,dhdzjpzzz
德宏州	dehongzhou,dhz
德厚	dehou,dh
德厚流光	dehouliuguang,dhlg
德华	dehua,dh
德化	dehua,dh
德化县	dehuaxian,dhx
德辉	dehui,dh
德惠	dehui,dh
德惠地区	dehuidiqu,dhdq
德惠市	dehuishi,dhs
德慧	dehui,dh
德机	deji,dj
德基	deji,dj
德几	deji,dj
德江	dejiang,dj
德江县	dejiangxian,djx
德教	dejiao,dj
德经	dejing,dj
德精	dejing,dj
德举	deju,dj
德句	deju,dj
德克萨斯	dekesasi,dkss
德克萨斯州	dekesasizhou,dkssz
德况	dekuang,dk
德拉克罗瓦	delakeluowa,dlklw
德拉门	delamen,dlm
德莱塞	delaise,dls
德勒巴克	delebake,dlbk
德勒兹	delezi,dlz
德雷尔	deleier,dle
德雷福斯	deleifusi,dlfs
德雷福斯案件	deleifusianjian,dlfsaj
德雷克海峡	deleikehaixia,dlkhx
德雷斯顿	deleisidun,dlsd
德类	delei,dl
德累斯顿	deleisidun,dlsd
德礼	deli,dl
德里	deli,dl
德里达	delida,dld
德量	deliang,dl
德邻	delin,dl
德令	deling,dl
德令哈	delingha,dlh
德令哈市	delinghashi,dlhs
德隆望重	delongwangzhong,dlwz
德隆望尊	delongwangzun,dlwz
德履	delu,dl
德律风	delufeng,dlf
德伦特	delunte,dlt
德茂	demao,dm
德懋	demao,dm
德梅因	demeiyin,dmy
德门	demen,dm
德谟克拉西	demokelaxi,dmklx
德牧	demu,dm
德能	deneng,dn
德念	denian,dn
德虐	denue,dn
德配	depei,dp
德配天地	depeitiandi,dptd
德器	deqi,dq
德浅行薄	deqianxingbao,dqxb
德钦	deqin,dq
德钦县	deqinxian,dqx
德清	deqing,dq
德清县	deqingxian,dqx
德庆	deqing,dq
德庆县	deqingxian,dqx
德全	dequan,dq
德全如醉	dequanruzui,dqrz
德让	derang,dr
德人	deren,dr
德仁	deren,dr
德容	derong,dr
德容兼备	derongjianbei,drjb
德容言功	derongyangong,dryg
德润	derun,dr
德三	desan,ds
德色	dese,ds
德声	desheng,ds
德胜门	deshengmen,dsm
德胜头回	deshengtouhui,dsth
德胜头迴	deshengtouhui,dsth
德施	deshi,ds
德士	deshi,ds
德守	deshou,ds
德寿	deshou,ds
德寿宫	deshougong,dsg
德水	deshui,ds
德素	desu,ds
德宿	desu,ds
德绥	desui,ds
德体	deti,dt
德望	dewang,dw
德威	dewei,dw
德维尔潘	deweierpan,dwep
德文	dewen,dw
德问	dewen,dw
德沃夏克	dewoxiake,dwxk
德乌帕	dewupa,dwp
德先生	dexiansheng,dxs
德宪	dexian,dx
德心	dexin,dx
德馨	dexin,dx
德信	dexin,dx
德星	dexing,dx
德刑	dexing,dx
德行	dexing,dx
德兴	dexing,dx
德兴市	dexingshi,dxs
德性	dexing,dx
德选	dexuan,dx
德言	deyan,dy
德言工貌	deyangongmao,dygm
德言工容	deyangongrong,dygr
德言容功	deyanronggong,dyrg
德阳	deyang,dy
德阳市	deyangshi,dys
德洋恩普	deyangenpu,dyep
德曜	deyao,dy
德耀	deyao,dy
德业	deye,dy
德义	deyi,dy
德艺	deyi,dy
德艺双馨	deyishuangxin,dysx
德意	deyi,dy
德意志	deyizhi,dyz
德意志邦联	deyizhibanglian,dyzbl
德意志帝国	deyizhidiguo,dyzdg
德意志第三帝国	deyizhidisanguo,dyzdsg
德意志联邦共和国	deyizhilianbanggongheguo,dyzlbghg
德意志民主共和国	deyizhiminzhugongheguo,dyzmzghg
德意志人	deyizhiren,dyzr
德意志学术交流中心	deyizhixueshujiaoliuzhongxin,dyzxsjlzx
德意志意识形态	deyizhishixingtai,dyzsxt
德意志银行	deyizhiyinhang,dyzyh
德音	deyin,dy
德音莫违	deyinmowei,dymw
德庸	deyong,dy
德輶	deyou,dy
德輶如毛	deyourumao,dyrm
德輶如羽	deyouruyu,dyry
德友	deyou,dy
德佑	deyou,dy
德隅	deyu,dy
德宇	deyu,dy
德语	deyu,dy
德育	deyu,dy
德誉	deyu,dy
德元	deyuan,dy
德垣宫	deyuangong,dyg
德云	deyun,dy
德运	deyun,dy
德泽	deze,dz
德政	dezheng,dz
德政碑	dezhengbei,dzb
德治	dezhi,dz
德智体	dezhiti,dzt
德智体美	dezhitimei,dztm
德重恩弘	dezhongenhong,dzeh
德州	dezhou,dz
德州扒鸡	dezhoupaji,dzpj
德州地区	dezhouqu,dzq
德州扑克	dezhoupuke,dzpk
德州市	dezhoushi,dzs
德州仪器	dezhouyiqi,dzyq
德尊望重	dezunwangzhong,dzwz
德祚	dezuo,dz
