诽谤	feibang,fb
诽谤之木	feibangzhimu,fbzm
诽谤罪	feibangzui,fbz
诽诋	feidi,fd
诽讟	feidu,fd
诽诽	fei,f
诽毁	feihui,fh
诽讥	feiji,fj
诽诮	feiqiao,fq
诽讪	feishan,fs
诽闻	feiwen,fw
诽戏	feixi,fx
诽笑	feixiao,fx
诽谐	feixie,fx
诽谑	feixue,fx
诽言	feiyan,fy
诽议	feiyi,fy
诽语	feiyu,fy
诽誉	feiyu,fy
诽誉在俗	feiyuzaisu,fyzs
诽怨	feiyuan,fy
诽章	feizhang,fz
诽訾	feizi,fz
诽訿	feizi,fz
