宰把手	zaibashou,zbs
宰弼	zaibi,zb
宰柄	zaibing,zb
宰臣	zaichen,zc
宰赐	zaici,zc
宰典	zaidian,zd
宰栋	zaidong,zd
宰肥鸭	zaifeiya,zfy
宰夫	zaifu,zf
宰夫衙	zaifuya,zfy
宰府	zaifu,zf
宰辅	zaifu,zf
宰父	zaifu,zf
宰割	zaige,zg
宰公	zaigong,zg
宰官	zaiguan,zg
宰贵	zaigui,zg
宰衡	zaiheng,zh
宰鸡教猴	zaijijiaohou,zjjh
宰祭	zaiji,zj
宰匠	zaijiang,zj
宰爵	zaijue,zj
宰君	zaijun,zj
宰客	zaike,zk
宰了	zaile,zl
宰理	zaili,zl
宰路	zailu,zl
宰録	zailu,zl
宰旅	zailu,zl
宰民	zaimin,zm
宰木	zaimu,zm
宰牧	zaimu,zm
宰嚭	zaipi,zp
宰人	zairen,zr
宰肉	zairou,zr
宰桑	zaisang,zs
宰杀	zaisha,zs
宰杀务	zaishawu,zsw
宰摄	zaishe,zs
宰牲节	zaishengjie,zsj
宰士	zaishi,zs
宰世	zaishi,zs
宰守	zaishou,zs
宰属	zaishu,zs
宰树	zaishu,zs
宰司	zaisi,zs
宰思	zaisi,zs
宰隧	zaisui,zs
宰庭	zaiting,zt
宰务	zaiwu,zw
宰物	zaiwu,zw
宰席	zaixi,zx
宰相	zaixiang,zx
宰相肚里好撑船	zaixiangdulihaochengchuan,zxdlhcc
宰相器	zaixiangqi,zxq
宰胥	zaixu,zx
宰尹	zaiyin,zy
宰予	zaiyu,zy
宰予昼寝	zaiyuzhouqin,zyzq
宰政	zaizheng,zz
宰执	zaizhi,zz
宰职	zaizhi,zz
宰制	zaizhi,zz
宰治	zaizhi,zz
宰主	zaizhu,zz
宰祝	zaizhu,zz
宰总	zaizong,zz
