霹空	pikong,pk
霹雷	pilei,pl
霹雳	pili,pl
霹雳车	piliche,plc
霹雳大仙	pilidaxian,pldx
霹雳斧	pilifu,plf
霹雳火	pilihuo,plh
霹雳尖	pilijian,plj
霹雳酵	pilijiao,plj
霹雳酒	pilijiu,plj
霹雳木	pilimu,plm
霹雳啪啦	pilipala,plpl
霹雳琴	piliqin,plq
霹雳手	pilishou,pls
霹雳舞	piliwu,plw
霹雳楔	pilixie,plx
霹雳引	piliyin,ply
霹雳砧	pilizhen,plz
霹雳碪	pilizhen,plz
霹拍	pipai,pp
霹诬	piwu,pw
霹震	pizhen,pz
