孑盾	jiedun,jd
孑孑	jie,j
孑孑为义	jieweiyi,jwy
孑杰	jie,j
孑居	jieju,jj
孑孓	jiejue,jj
孑黎	jieli,jl
孑立	jieli,jl
孑立无依	jieliwuyi,jlwy
孑裂	jielie,jl
孑轮	jielun,jl
孑蜺	jieni,jn
孑栖	jieqi,jq
孑然	jieran,jr
孑然一身	jieranyishen,jrys
孑身	jieshen,js
孑弦	jiexian,jx
孑遗	jieyi,jy
孑遗生物	jieyishengwu,jysw
孑义	jieyi,jy
孑影孤单	jieyinggudan,jygd
孑余	jieyu,jy
