闽北话	minbeihua,mbh
闽菜	mincai,mc
闽川	minchuan,mc
闽方言	minfangyan,mfy
闽关	minguan,mg
闽海	minhai,mh
闽侯	minhou,mh
闽侯县	minhouxian,mhx
闽荒	minhuang,mh
闽江	minjiang,mj
闽侥	minyao,my
闽峤	minqiao,mq
闽徼	minjiao,mj
闽剧	minju,mj
闽隶	minli,ml
闽岭	minling,ml
闽洛	minluo,ml
闽虻	minmeng,mm
闽南	minnan,mn
闽南话	minnanhua,mnh
闽南语	minnanyu,mny
闽派	minpai,mp
闽清	minqing,mq
闽清县	minqingxian,mqx
闽蚋	minrui,mr
闽学	minxue,mx
闽语	minyu,my
闽粤	minyue,my
闽越	minyue,my
闽中	minzhong,mz
闽中十子	minzhongshizi,mzsz
