挈持	qiechi,qc
挈搐	qiechu,qc
挈辞	qieci,qc
挈从	qiecong,qc
挈带	qiedai,qd
挈扶	qiefu,qf
挈皋	qiegao,qg
挈龟	qiegui,qg
挈还	qiehai,qh
挈壶	qiehu,qh
挈家	qiejia,qj
挈眷	qiejuan,qj
挈揽	qielan,ql
挈累	qielei,ql
挈领	qieling,ql
挈领提纲	qielingtigang,qltg
挈令	qieling,ql
挈囊	qienang,qn
挈辔	qiepei,qp
挈瓶	qieping,qp
挈瓶之知	qiepingzhi,qpz
挈瓶之智	qiepingzhi,qpz
挈缾	qieping,qp
挈挈	qie,q
挈然	qieran,qr
挈提	qieti,qt
挈维	qiewei,qw
挈携	qiexie,qx
挈引	qieyin,qy
挈杅	qieyu,qy
