悯哀	minai,ma
悯恻	mince,mc
悯悼	mindao,md
悯护	minhu,mh
悯急	minji,mj
悯忌	minji,mj
悯谏	minjian,mj
悯嗟	minjie,mj
悯救	minjiu,mj
悯愧	minkui,mk
悯怜	minlian,ml
悯谅	minliang,ml
悯悯	min,m
悯默	minmo,mm
悯念	minnian,mn
悯贫	minpin,mp
悯切	minqie,mq
悯然	minran,mr
悯伤	minshang,ms
悯时病俗	minshibingsu,msbs
悯世	minshi,ms
悯叹	mintan,mt
悯恸	mintong,mt
悯惜	minxi,mx
悯笑	minxiao,mx
悯凶	minxiong,mx
悯恤	minxu,mx
悯宥	minyou,my
