将爱	jiangai,ja
将本求财	jiangbenqiucai,jbqc
将本求利	jiangbenqiuli,jbql
将弁	jiangbian,jb
将兵	jiangbing,jb
将伯	qiangbo,qb
将伯之呼	qiangbozhihu,qbzh
将伯之助	qiangbozhizhu,qbzz
将才	jiangcai,jc
将材	jiangcai,jc
将纔	jiangshan,js
将车	jiangche,jc
将臣	jiangchen,jc
将成斧柯	jiangchengfuke,jcfk
将成功地	jiangchenggongde,jcgd
将承	jiangcheng,jc
将诚	jiangcheng,jc
将雏	jiangchu,jc
将次	jiangci,jc
将错就错	jiangcuojiu,jcj
将带	jiangdai,jd
将夺固与	jiangduoguyu,jdgy
将飞翼伏	jiangfeiyifu,jfyf
将扶	jiangfu,jf
将抚	jiangfu,jf
将功补过	jianggongbuguo,jgbg
将功抵罪	jianggongdizui,jgdz
将功赎罪	jianggongshuzui,jgsz
将功折过	jianggongsheguo,jgsg
将功折罪	jianggongzhezui,jgzz
将官	jiangguan,jg
将归操	jiangguicao,jgc
将护	jianghu,jh
将会	jianghui,jh
将会大大地减少	jianghuidadejianshao,jhddjs
将会极大地	jianghuijidade,jhjdd
将会尽可能地	jianghuijinkenengde,jhjknd
将机就机	jiangjijiu,jjj
将机就计	jiangjijiu,jjj
将计就计	jiangjijiu,jjj
将家	jiangjia,jj
将将	qiang,q
将匠	jiang,j
将今论古	jiangjinlungu,jjlg
将紧密地	jiangjinmide,jjmd
将近	jiangjin,jj
将近地	jiangjinde,jjd
将进酒	qiangjinjiu,qjj
将久	jiangjiu,jj
将就	jiangjiu,jj
将巨	jiangju,jj
将具	jiangju,jj
将钜	jiangju,jj
将军	jiangjun,jj
将军肚	jiangjundu,jjd
将军肚子	jiangjunduzi,jjdz
将军府	jiangjunfu,jjf
将军箭	jiangjunjian,jjj
将军令	jiangjunling,jjl
将军炮	jiangjunpao,jjp
将军佩	jiangjunpei,jjp
将军树	jiangjunshu,jjs
将军炭	jiangjuntan,jjt
将军柱	jiangjunzhu,jjz
将阃	jiangkun,jk
将来	jianglai,jl
将来地	jianglaide,jld
将来式	jianglaishi,jls
将牢	jianglao,jl
将乐	jiangle,jl
将乐县	jianglexian,jlx
将类	jianglei,jl
将离	jiangli,jl
将礼	jiangli,jl
将李代桃	jianglidaitao,jldt
将理	jiangli,jl
将理性地	jianglixingde,jlxd
将吏	jiangli,jl
将梁	jiangliang,jl
将领	jiangling,jl
将令	jiangling,jl
将率	jianglu,jl
将略	jianglue,jl
将美	jiangmei,jm
将门	jiangmen,jm
将门虎子	jiangmenhuzi,jmhz
将门无犬子	jiangmenwuquanzi,jmwqz
将门有将	jiangmenyou,jmy
将明	jiangming,jm
将命	jiangming,jm
将牌	jiangpai,jp
将棋	jiangqi,jq
将器	jiangqi,jq
将勤补绌	jiangqinbuchu,jqbc
将勤补拙	jiangqinbuzhuo,jqbz
将取固予	jiangquguyu,jqgy
将然	jiangran,jr
将丧	jiangsang,js
将摄	jiangshe,js
将身	jiangshen,js
将慎	jiangshen,js
将士	jiangshi,js
将仕	jiangshi,js
将仕郎	jiangshilang,jsl
将仕郞	jiangshilang,jsl
将事	jiangshi,js
将帅	jiangshuai,js
将顺	jiangshun,js
将顺其美	jiangshunqimei,jsqm
将死	jiangsi,js
将送	jiangsong,js
将宿	jiangsu,js
将台	jiangtai,jt
将天就地	jiangtianjiudi,jtjd
将妄	jiangwang,jw
将卫	jiangwei,jw
将位	jiangwei,jw
将尉	jiangwei,jw
将无	jiangwu,jw
将无同	jiangwutong,jwt
将无作有	jiangwuzuoyou,jwzy
将无做有	jiangwuzuoyou,jwzy
将毋	jiangwu,jw
将毋同	jiangwutong,jwt
将息	jiangxi,jx
将惜	jiangxi,jx
将虾钓鳖	jiangxiadiaobie,jxdb
将相	jiangxiang,jx
将相应地	jiangxiangyingde,jxyd
将相之器	jiangxiangzhiqi,jxzq
将校	jiangxiao,jx
将心比心	jiangxinbi,jxb
将信将疑	jiangxinyi,jxy
将星	jiangxing,jx
将行	jiangxing,jx
将胸比肚	jiangxiongbidu,jxbd
将寻斧柯	jiangxunfuke,jxfk
将阳	jiangyang,jy
将养	jiangyang,jy
将要	jiangyao,jy
将爷	jiangye,jy
将意	jiangyi,jy
将引	jiangyin,jy
将迎	jiangying,jy
将用	jiangyong,jy
将用斧柯	jiangyongfuke,jyfk
将有效地	jiangyouxiaode,jyxd
将于	jiangyu,jy
将竽	jiangyu,jy
将欲	jiangyu,jy
将欲取之	jiangyuquzhi,jyqz
将御	jiangyu,jy
将遇良才	jiangyuliangcai,jylc
将遇良材	jiangyuliangcai,jylc
将在军	jiangzaijun,jzj
将在外	jiangzaiwai,jzw
将指	jiangzhi,jz
将至	jiangzhi,jz
将治	jiangzhi,jz
将致千里	jiangzhiqianli,jzql
将种	jiangzhong,jz
将助	jiangzhu,jz
将佐	jiangzuo,jz
将作大匠	jiangzuoda,jzd
将作监	jiangzuojian,jzj
将作少府	jiangzuoshaofu,jzsf
将作长史	jiangzuozhangshi,jzzs
