詹卜	zhanbu,zb
詹草	zhancao,zc
詹端	zhanduan,zd
詹公	zhangong,zg
詹惶	zhanhuang,zh
詹江布尔	zhanjiangbuer,zjbe
詹敬	zhanjing,zj
詹姆斯	zhanmusi,zms
詹慕	zhanmu,zm
詹森	zhansen,zs
詹事	zhanshi,zs
詹唐	zhantang,zt
詹糖	zhantang,zt
詹天佑	zhantianyou,zty
詹翫	zhanwan,zw
詹望	zhanwang,zw
詹香	zhanxiang,zx
詹言曲说	zhanyanqushuo,zyqs
詹尹	zhanyin,zy
詹詹	zhan,z
詹詹炎炎	zhanyan,zy
詹诸	zhanzhu,zz
詹子	zhanzi,zz
