班白	banbai,bb
班班	ban,b
班班可考	bankekao,bkk
班辈	banbei,bb
班辈儿	banbeier,bbe
班本	banben,bb
班笔	banbi,bb
班兵	banbing,bb
班禀	banbing,bb
班剥	banbao,bb
班伯里	banboli,bbl
班伯利	banboli,bbl
班驳	banbo,bb
班驳陆离	banboluli,bbll
班布	banbu,bb
班部	banbu,bb
班簿	banbu,bb
班彩	bancai,bc
班操	bancao,bc
班曹	bancao,bc
班草	bancao,bc
班禅	banchan,bc
班禅额尔德尼	banchaneerdeni,bceedn
班禅喇嘛	banchanlama,bclm
班超	banchao,bc
班朝	banchao,bc
班朝録	banchaolu,bcl
班车	banche,bc
班齿	banchi,bc
班倕	banchui,bc
班春	banchun,bc
班次	banci,bc
班赐	banci,bc
班达海	bandahai,bdh
班达亚齐	bandayaqi,bdyq
班打	banda,bd
班代	bandai,bd
班导	bandao,bd
班导师	bandaoshi,bds
班狄	bandi,bd
班底	bandi,bd
班第	bandi,bd
班点	bandian,bd
班范	banfan,bf
班房	banfang,bf
班傅	banfu,bf
班告	bangao,bg
班戈	bange,bg
班戈县	bangexian,bgx
班哥	bange,bg
班功行赏	bangongxingshang,bgxs
班贡	bangong,bg
班姑	bangu,bg
班固	bangu,bg
班管	banguan,bg
班汉	banhan,bh
班贺	banhe,bh
班虎	banhu,bh
班花	banhua,bh
班会	banhui,bh
班机	banji,bj
班姬	banji,bj
班姬辞辇	banjicinian,bjcn
班姬扇	banjishan,bjs
班基	banji,bj
班赍	banji,bj
班吉	banji,bj
班级	banji,bj
班籍	banji,bj
班纪德	banjide,bjd
班罽	banji,bj
班加罗尔	banjialuoer,bjle
班加西	banjiaxi,bjx
班家女师	banjianushi,bjns
班贾	banjia,bj
班见	banjian,bj
班饯	banjian,bj
班剑	banjian,bj
班将	banjiang,bj
班匠	banjiang,bj
班婕	banjie,bj
班荆	banjing,bj
班荆道故	banjingdaogu,bjdg
班荆道旧	banjingdaojiu,bjdj
班荆馆	banjingguan,bjg
班荆相对	banjingxiangdui,bjxd
班镜	banjing,bj
班鸠	banjiu,bj
班爵	banjue,bj
班军	banjun,bj
班克斯	bankesi,bks
班克西	bankexi,bkx
班赉	banlai,bl
班兰	banlan,bl
班阑	banlan,bl
班斓	banlan,bl
班烂	banlan,bl
班劳	banlao,bl
班历	banli,bl
班立	banli,bl
班联	banlian,bl
班僚	banliao,bl
班寮	banliao,bl
班列	banlie,bl
班璘	banlin,bl
班瞵	banlin,bl
班龙	banlong,bl
班禄	banlu,bl
班鹭	banlu,bl
班轮	banlun,bl
班马	banma,bm
班马文章	banmawenzhang,bmwz
班玛	banma,bm
班玛县	banmaxian,bmx
班毛	banmao,bm
班茅	banmao,bm
班门	banmen,bm
班门弄斧	banmennongfu,bmnf
班命	banming,bm
班墨	banmo,bm
班奴	bannu,bn
班女	bannu,bn
班女扇	bannushan,bns
班配	banpei,bp
班品	banpin,bp
班期	banqi,bq
班妾	banqie,bq
班妾辞辇	banqiecinian,bqcn
班然	banran,br
班荣	banrong,br
班如	banru,br
班瑞	banrui,br
班散	bansan,bs
班扇	banshan,bs
班上	banshang,bs
班什	banshi,bs
班生	bansheng,bs
班生庐	banshenglu,bsl
班声	bansheng,bs
班师	banshi,bs
班师得胜	banshidesheng,bsds
班师回朝	banshihuichao,bshc
班师回俯	banshihuifu,bshf
班史	banshi,bs
班士	banshi,bs
班氏庐	banshilu,bsl
班示	banshi,bs
班首	banshou,bs
班授	banshou,bs
班书	banshu,bs
班叔	banshu,bs
班输	banshu,bs
班朔	banshuo,bs
班丝贝	bansibei,bsb
班丝布	bansibu,bsb
班司	bansi,bs
班送	bansong,bs
班随	bansui,bs
班台	bantai,bt
班廷	banting,bt
班庭	banting,bt
班头	bantou,bt
班秃	bantu,bt
班图人	banturen,btr
班图斯坦	bantusitan,btst
班委会	banweihui,bwh
班位	banwei,bw
班文儿	banwener,bwe
班务会	banwuhui,bwh
班锡	banxi,bx
班霞	banxia,bx
班线	banxian,bx
班香宋艳	banxiangsongyan,bxsy
班谢	banxie,bx
班心	banxin,bx
班行	banhang,bh
班序	banxu,bx
班叙	banxu,bx
班宣	banxuan,bx
班旋	banxuan,bx
班荀	banxun,bx
班雅明	banyaming,bym
班迓	banya,by
班扬	banyang,by
班谒	banye,by
班衣	banyi,by
班衣戏采	banyixicai,byxc
班衣戏彩	banyixicai,byxc
班役	banyi,by
班迎	banying,by
班鱼	banyu,by
班谕	banyu,by
班媛	banyuan,by
班张	banzhang,bz
班长	banzhang,bz
班政	banzheng,bz
班枝花	banzhihua,bzh
班直	banzhi,bz
班指	banzhi,bz
班制	banzhi,bz
班治	banzhi,bz
班秩	banzhi,bz
班珠尔	banzhuer,bze
班竹	banzhu,bz
班主	banzhu,bz
班主任	banzhuren,bzr
班卓琴	banzhuoqin,bzq
班资	banzi,bz
班子	banzi,bz
班组	banzu,bz
班左	banzuo,bz
班坐	banzuo,bz
