鸱鸱	chi,c
鸱蹲	chidun,cd
鸱革	chige,cg
鸱沟	chigou,cg
鸱顾	chigu,cg
鸱龟	chigui,cg
鸱鸠	chijiu,cj
鸱阑	chilan,cl
鸱甍	chimeng,cm
鸱靡	chimi,cm
鸱目虎吻	chimuhuwen,cmhw
鸱鸟	chiniao,cn
鸱苕	chitiao,ct
鸱视	chishi,cs
鸱视虎顾	chishihugu,cshg
鸱视狼顾	chishilanggu,cslg
鸱鴺	chiyi,cy
鸱头酒	chitoujiu,ctj
鸱尾	chiwei,cw
鸱吻	chiwen,cw
鸱吓	chixia,cx
鸱枭	chixiao,cx
鸱鸮	chixiao,cx
鸱鸮弄舌	chixiaonongshe,cxns
鸱鸺	chixiu,cx
鸱鸦嗜鼠	chiyashishu,cyss
鸱夷	chiyi,cy
鸱夷子	chiyizi,cyz
鸱夷子皮	chiyizipi,cyzp
鸱彝	chiyi,cy
鸱彝子	chiyizi,cyz
鸱义	chiyi,cy
鸱鸢	chiyuan,cy
鸱张	chizhang,cz
鸱张门户	chizhangmenhu,czmh
鸱张鼠伏	chizhangshufu,czsf
鸱张蚁聚	chizhangyiju,czyj
鸱张鱼烂	chizhangyulan,czyl
鸱峙	chizhi,cz
鸱跱	chizhi,cz
