蝶庵	diean,da
蝶黛	diedai,dd
蝶窦	diedou,dd
蝶粉	diefen,df
蝶粉蜂黄	diefenfenghuang,dffh
蝶骨	diegu,dg
蝶化	diehua,dh
蝶化庄生	diehuazhuangsheng,dhzs
蝶化庄周	diehuazhuangzhou,dhzz
蝶魂	diehun,dh
蝶几	dieji,dj
蝶径	diejing,dj
蝶兰	dielan,dl
蝶类	dielei,dl
蝶恋蜂狂	dielianfengkuang,dlfk
蝶恋花	dielianhua,dlh
蝶翎	dieling,dl
蝶梦	diemeng,dm
蝶拍	diepai,dp
蝶魄	diepo,dp
蝶期	dieqi,dq
蝶裙	diequn,dq
蝶山区	dieshanqu,dsq
蝶使	dieshi,ds
蝶使蜂媒	dieshifengmei,dsfm
蝶舞	diewu,dw
蝶戏	diexi,dx
蝶绡	diexiao,dx
蝶形领带	diexinglingdai,dxld
蝶形领结	diexinglingjie,dxlj
蝶衣	dieyi,dy
蝶意莺情	dieyiyingqing,dyyq
蝶影	dieying,dy
蝶泳	dieyong,dy
蝶羽	dieyu,dy
蝶怨蛩凄	dieyuanqiongqi,dyqq
蝶装	diezhuang,dz
蝶子	diezi,dz
