既不沙	jibusha,jbs
既不索	jibusuo,jbs
既龀	jichen,jc
既齓	jichen,jc
既成	jicheng,jc
既成事实	jichengshi,jcs
既得	jide,jd
既得利益	jideliyi,jdly
既得期间	jideqijian,jdqj
既定	jiding,jd
既而	jier,je
既尔	jier,je
既灌	jiguan,jg
既后	jihou,jh
既济	ji,j
既济公	jigong,jg
既来之	jilaizhi,jlz
既立	jili,jl
既廪	jilin,jl
既乃	jinai,jn
既然	jiran,jr
既生霸	jishengba,jsb
既生魄	jishengpo,jsp
既视感	jishigan,jsg
既是	jishi,js
既朔	jishuo,js
既死霸	jisiba,jsb
既死魄	jisipo,jsp
既往	jiwang,jw
既往不咎	jiwangbujiu,jwbj
既望	jiwang,jw
既位	jiwei,jw
既夕	jixi,jx
既旬	jixun,jx
既要当婊子又要立牌坊	jiyaodangbiaoziyoulipaifang,jydbzylpf
既已	jiyi,jy
既以	jiyi,jy
既有	jiyou,jy
既有今日	jiyoujinri,jyjr
既有今日何必当初	jiyoujinrihebidangchu,jyjrhbdc
既月	jiyue,jy
既终	jizhong,jz
