杉板	shanban,sb
杉板子	shanbanzi,sbz
杉本	shanben,sb
杉材	shancai,sc
杉槽漆斛	shancaoqihu,scqh
杉船	shanchuan,sc
杉刺子	shancizi,scz
杉篙	shagao,sg
杉槁	shangao,sg
杉关	shanguan,sg
杉鸡	shanji,sj
杉锦	shanjin,sj
杉径	shanjing,sj
杉篱	shanli,sl
杉林	shanlin,sl
杉林乡	shanlinxiang,slx
杉瘤	shanliu,sl
杉萝	shanluo,sl
杉木	shamu,sm
杉山	shan,s
杉山彬	shanbin,sb
杉树	shanshu,ss
杉松	shansong,ss
杉月	shanyue,sy
杉赘	shanzhui,sz
杉子	shanzi,sz
