厕篦	cebi,cb
厕筹	cechou,cc
厕床	cechuang,cc
厕错	cecuo,cc
厕混	cehun,ch
厕溷	cehun,ch
厕迹	ceji,cj
厕简	cejian,cj
厕贱	cejian,cj
厕具	ceju,cj
厕列	celie,cl
厕马	cema,cm
厕身	ceshen,cs
厕身其间	ceshenqijian,csqj
厕饰	ceshi,cs
厕所	cesuo,cs
厕填	cetian,ct
厕屋	cewu,cw
厕匽	ceyan,cy
厕牏	ceyu,cy
厕豫	ceyu,cy
厕纸	cezhi,cz
厕足	cezu,cz
厕足其间	cezuqijian,czqj
