躐拜	liebai,lb
躐除	liechu,lc
躐次	lieci,lc
躐登	liedeng,ld
躐等	liedeng,ld
躐玷	liedian,ld
躐官	lieguan,lg
躐跻	lieji,lj
躐级	lieji,lj
躐阶	liejie,lj
躐进	liejin,lj
躐径	liejing,lj
躐居	lieju,lj
躐冒	liemao,lm
躐迁	lieqian,lq
躐窃	lieqie,lq
躐取	liequ,lq
躐升	liesheng,ls
躐趿	lieta,lt
躐席	liexi,lx
躐行	liexing,lx
躐学	liexue,lx
躐缨	lieying,ly
躐用	lieyong,ly
