档案	dangan,da
档案传输协定	danganchuanshuxieding,dacsxd
档案袋	dangandai,dad
档案分配区	danganfenpeiqu,dafpq
档案服务	danganfuwu,dafw
档案馆	danganguan,dag
档案盒	danganhe,dah
档案夹	danganjia,daj
档案建立	danganjianli,dajl
档案属性	danganshuxing,dasx
档案学	danganxue,dax
档案执行	danganzhixing,dazx
档案转送	danganzhuansong,dazs
档案转送存取及管理	danganzhuansongcunqujiguanli,dazscqjgl
档案总管	danganzongguan,dazg
档册	dangce,dc
档车	dangche,dc
档次	dangci,dc
档调	dangdiao,dd
档儿	danger,de
档口	dangkou,dk
档期	dangqi,dq
档子	dangzi,dz
档子班	dangziban,dzb
