貌不惊人	maobujingren,mbjr
貌禅	maochan,mc
貌定	maoding,md
貌恭	maogong,mg
貌冠	maoguan,mg
貌合情离	maoheqingli,mhql
貌合神离	maoheshenli,mhsl
貌合心离	maohexinli,mhxl
貌合行离	maohexingli,mhxl
貌合形离	maohexingli,mhxl
貌敬	maojing,mj
貌匮	maokui,mk
貌离神合	maolishenhe,mlsh
貌美	maomei,mm
貌美如花	maomeiruhua,mmrh
貌喏	maonuo,mn
貌侵	maoqin,mq
貌寝	maoqin,mq
貌取	maoqu,mq
貌容	maorong,mr
貌如其心	maoruqixin,mrqx
貌色	maose,ms
貌是情非	maoshiqingfei,msqf
貌是心非	maoshixinfei,msxf
貌受	maoshou,ms
貌似	maosi,ms
貌似强大	maosiqiangda,msqd
貌堂堂	maotang,mt
貌托	maotuo,mt
貌望	maowang,mw
貌相	maoxiang,mx
貌象	maoxiang,mx
貌像	maoxiang,mx
貌肖	maoxiao,mx
貌形	maoxing,mx
貌言	maoyan,my
貌阅	maoyue,my
貌执	maozhi,mz
貌状	maozhuang,mz
