巷伯	xiangbo,xb
巷党	xiangdang,xd
巷道	hangdao,hd
巷歌	xiangge,xg
巷祭	xiangji,xj
巷口	xiangkou,xk
巷哭	xiangku,xk
巷吏	xiangli,xl
巷陌	xiangmo,xm
巷弄	xianglong,xl
巷泣	xiangqi,xq
巷人	xiangren,xr
巷市	xiangshi,xs
巷术	xiangshu,xs
巷说	xiangshuo,xs
巷尾街头	xiangweijietou,xwjt
巷言	xiangyan,xy
巷野	xiangye,xy
巷议	xiangyi,xy
巷议街谈	xiangyijietan,xyjt
巷咏	xiangyong,xy
巷战	xiangzhan,xz
巷职	xiangzhi,xz
巷子	xiangzi,xz
巷族	xiangzu,xz
