运百甓	yunbaipi,ybp
运本	yunben,yb
运笔	yunbi,yb
运弁	yunbian,yb
运变	yunbian,yb
运兵	yunbing,yb
运柄	yunbing,yb
运剥	yunbao,yb
运舶	yunbo,yb
运部	yunbu,yb
运裁	yuncai,yc
运漕	yuncao,yc
运策	yunce,yc
运策决机	yuncejueji,ycjj
运策帷幄	yunceweiwo,ycww
运钞车	yunchaoche,ycc
运车	yunche,yc
运城	yuncheng,yc
运城地区	yunchengdiqu,ycdq
运城市	yunchengshi,ycs
运程	yuncheng,yc
运筹	yunchou,yc
运筹出奇	yunchouchuqi,yccq
运筹划策	yunchouhuace,ychc
运筹画策	yunchouhuace,ychc
运筹建策	yunchoujiance,ycjc
运筹借箸	yunchoujiezhu,ycjz
运筹决策	yunchoujuece,ycjc
运筹决胜	yunchoujuesheng,ycjs
运筹决算	yunchoujuesuan,ycjs
运筹千里	yunchouqianli,ycql
运筹设策	yunchoushece,ycsc
运筹帏幄	yunchouweiwo,ycww
运筹帷幄	yunchouweiwo,ycww
运筹帷帐	yunchouweizhang,ycwz
运筹学	yunchouxue,ycx
运筹演谋	yunchouyanmou,ycym
运筹制胜	yunchouzhisheng,yczs
运出	yunchu,yc
运出运费	yunchufei,ycf
运船	yunchuan,yc
运次	yunci,yc
运寸	yuncun,yc
运代	yundai,yd
运单	yundan,yd
运道	yundao,yd
运抵	yundi,yd
运典	yundian,yd
运掉	yundiao,yd
运掉自如	yundiaoziru,ydzr
运丁	yunding,yd
运动	yundong,yd
运动按摩	yundonganmo,ydam
运动病	yundongbing,ydb
运动场	yundongchang,ydc
运动地	yundongde,ydd
运动定律	yundongdinglu,yddl
运动方程	yundongfangcheng,ydfc
运动服	yundongfu,ydf
运动会	yundonghui,ydh
运动会地	yundonghuide,ydhd
运动技能	yundongjineng,ydjn
运动技术	yundongjishu,ydjs
运动家	yundongjia,ydj
运动健将	yundongjianjiang,ydjj
运动俱乐部	yundongjulebu,ydjlb
运动觉	yundongjue,ydj
运动量	yundongliang,ydl
运动强度	yundongqiangdu,ydqd
运动衫	yundongshan,yds
运动图像	yundongtuxiang,ydtx
运动袜	yundongwa,ydw
运动系统	yundongxitong,ydxt
运动协会	yundongxiehui,ydxh
运动鞋	yundongxie,ydx
运动心理学	yundongxinlixue,ydxlx
运动性病症	yundongxingbingzheng,ydxbz
运动学	yundongxue,ydx
运动训练	yundongxunlian,ydxl
运动衣	yundongyi,ydy
运动员	yundongyuan,ydy
运动员技术等级制度	yundongyuanjishudengzhidu,ydyjsdzd
运动战	yundongzhan,ydz
运动战术	yundongzhanshu,ydzs
运斗	yundou,yd
运度	yundu,yd
运贩	yunfan,yf
运放	yunfang,yf
运费	yunfei,yf
运否	yunfou,yf
运夫	yunfu,yf
运斧般门	yunfubanmen,yfbm
运副	yunfu,yf
运干	yungan,yg
运纲	yungang,yg
运功	yungong,yg
运古	yungu,yg
运乖时蹇	yunguaishijian,ygsj
运官	yunguan,yg
运海	yunhai,yh
运河	yunhe,yh
运河区	yunhequ,yhq
运衡	yunheng,yh
运化	yunhua,yh
运会	yunhui,yh
运火	yunhuo,yh
运货马车	yunhuomache,yhmc
运货员	yunhuoyuan,yhy
运机	yunji,yj
运玑	yunji,yj
运极	yunji,yj
运计铺谋	yunjipumou,yjpm
运价	yunjia,yj
运蹇时低	yunjianshidi,yjsd
运蹇时乖	yunjianshiguai,yjsg
运将	yunjiang,yj
运匠	yunjiang,yj
运交	yunjiao,yj
运脚	yunjiao,yj
运斤	yunjin,yj
运斤成风	yunjinchengfeng,yjcf
运斤如风	yunjinrufeng,yjrf
运釿	yunyin,yy
运军	yunjun,yj
运均	yunjun,yj
运钧	yunjun,yj
运开时泰	yunkaishitai,ykst
运口	yunkou,yk
运库	yunku,yk
运理	yunli,yl
运力	yunli,yl
运历	yunli,yl
运炼	yunlian,yl
运量	yunliang,yl
运流	yunliu,yl
运路	yunlu,yl
运迈	yunmai,ym
运命	yunming,ym
运谋	yunmou,ym
运目	yunmu,ym
运能	yunneng,yn
运辇	yunnian,yn
运弄	yunnong,yn
运偶	yunou,yo
运判	yunpan,yp
运甓	yunpi,yp
运平	yunping,yp
运期	yunqi,yq
运奇	yunqi,yq
运气	yunqi,yq
运气好地	yunqihaode,yqhd
运钱	yunqian,yq
运情	yunqing,yq
运庆	yunqing,yq
运球	yunqiu,yq
运渠	yunqu,yq
运日	yunri,yr
运商	yunshang,ys
运赏	yunshang,ys
运神	yunshen,ys
运十	yunshi,ys
运使	yunshi,ys
运世	yunshi,ys
运事	yunshi,ys
运势	yunshi,ys
运手	yunshou,ys
运售	yunshou,ys
运输	yunshu,ys
运输船	yunshuchuan,ysc
运输机	yunshuji,ysj
运输舰	yunshujian,ysj
运输量	yunshuliang,ysl
运输网	yunshuwang,ysw
运输线	yunshuxian,ysx
运输业	yunshuye,ysy
运数	yunshu,ys
运司	yunsi,ys
运思	yunsi,ys
运送	yunsong,ys
运送局	yunsongju,ysj
运艘	yunsou,ys
运筭	yunsuan,ys
运算	yunsuan,ys
运算方法	yunsuanfangfa,ysff
运算放大器	yunsuanfangdaqi,ysfdq
运算环境	yunsuanhuanjing,yshj
运算器	yunsuanqi,ysq
运算式	yunsuanshi,yss
运算数	yunsuanshu,yss
运泰	yuntai,yt
运通	yuntong,yt
运同	yuntong,yt
运腕	yunwan,yw
运亡为存	yunwangweicun,ywwc
运旺时盛	yunwangshisheng,ywss
运帷	yunwei,yw
运为	yunwei,yw
运握	yunwo,yw
运斡	yunwo,yw
运务	yunwu,yw
运物	yunwu,yw
运徙	yunxi,yx
运限	yunxian,yx
运饷	yunxiang,yx
运销	yunxiao,yx
运心	yunxin,yx
运行	yunxing,yx
运行方式	yunxingfangshi,yxfs
运行时	yunxingshi,yxs
运行时错误	yunxingshicuowu,yxscw
运行状况	yunxingzhuangkuang,yxzk
运序	yunxu,yx
运旋	yunxuan,yx
运眩	yunxuan,yx
运奄	yunyan,yy
运移	yunyi,yy
运移时易	yunyishi,yys
运役	yunyi,yy
运意	yunyi,yy
运裛	yunyi,yy
运营	yunying,yy
运营商	yunyingshang,yys
运营总监	yunyingzongjian,yyzj
运用	yunyong,yy
运用之妙	yunyongzhimiao,yyzm
运用自如	yunyongziru,yyzr
运遇	yunyu,yy
运员	yunyuan,yy
运载	yunzai,yz
运载火箭	yunzaihuojian,yzhj
运载量	yunzailiang,yzl
运掌	yunzhang,yz
运照	yunzhao,yz
运针	yunzhen,yz
运之掌上	yunzhizhangshang,yzzs
运职	yunzhi,yz
运指	yunzhi,yz
运智	yunzhi,yz
运智铺谋	yunzhipumou,yzpm
运置	yunzhi,yz
运舟	yunzhou,yz
运周	yunzhou,yz
