羹定	gengding,gd
羹饭	gengfan,gf
羹饭种	gengfanzhong,gfz
羹沸	gengfei,gf
羹藿	genghuo,gh
羹臛	genghuo,gh
羹魁	gengkui,gk
羹藜	gengli,gl
羹藜含糗	genglihanqiu,glhq
羹藜唅糗	genglihanqiu,glhq
羹梅	gengmei,gm
羹墙	gengqiang,gq
羹食	gengshi,gs
羹匙	gengchi,gc
羹汤	gengtang,gt
羹污朝衣	gengwuchaoyi,gwcy
羹献	gengxian,gx
羹元	gengyuan,gy
羹饘	gengzhan,gz
羹粥	gengzhou,gz
羹胾	gengzi,gz
