戆騃	gangai,ga
戆暗	gangan,ga
戆闇	gangan,ga
戆鄙	gangbi,gb
戆大	gangda,gd
戆督	gangdu,gd
戆钝	gangdun,gd
戆激	gangji,gj
戆介	gangjie,gj
戆陋	ganglou,gl
戆昧	gangmei,gm
戆冥	gangming,gm
戆讷	gangne,gn
戆僻	gangpi,gp
戆朴	gangpiao,gp
戆人	gangren,gr
戆士	gangshi,gs
戆头	gangtou,gt
戆头戆脑	gangtounao,gtn
戆投	gangtou,gt
戆眼子	gangyanzi,gyz
戆勇	gangyong,gy
戆愚	gangyu,gy
戆直	zhuangzhi,zz
戆鸷	gangzhi,gz
戆拙	gangzhuo,gz
