恻恻	ce,c
恻怅	cechang,cc
恻楚	cechu,cc
恻怆	cechuang,cc
恻促	cecu,cc
恻怛	ceda,cd
恻怛之心	cedazhixin,cdzx
恻动	cedong,cd
恻悱	cefei,cf
恻悷	celi,cl
恻悯	cemin,cm
恻念	cenian,cn
恻凄	ceqi,cq
恻切	ceqie,cq
恻然	ceran,cr
恻容	cerong,cr
恻塞	cesai,cs
恻伤	ceshang,cs
恻痛	cetong,ct
恻焉	ceyan,cy
恻隐	ceyin,cy
恻隐之心	ceyinzhixin,cyzx
恻惐	ceyu,cy
恻淢	ceyu,cy
