俚鄙	libi,lb
俚词	lici,lc
俚辞	lici,lc
俚洞	lidong,ld
俚笃	lidu,ld
俚恶	lie,le
俚耳	lier,le
俚妇	lifu,lf
俚歌	lige,lg
俚近	lijin,lj
俚赖	lilai,ll
俚率	lilu,ll
俚民	limin,lm
俚浅	liqian,lq
俚曲	liqu,lq
俚人	liren,lr
俚柔	lirou,lr
俚儒	liru,lr
俚室	lishi,ls
俚说	lishuo,ls
俚俗	lisu,ls
俚谈	litan,lt
俚巷	lixiang,lx
俚亵	lixie,lx
俚言	liyan,ly
俚谚	liyan,ly
俚谣	liyao,ly
俚謡	liyao,ly
俚野	liye,ly
俚医	liyi,ly
俚语	liyu,ly
俚窳	liyu,ly
俚子	lizi,lz
