胳臂	gebei,gb
胳臂箍儿	gebeiguer,gbge
胳臂钱	gebeiqian,gbq
胳臂肘儿	gebeizhouer,gbze
胳膊	gebo,gb
胳膊拧不过大腿	geboningbuguodatui,gbnbgdt
胳膊上走得路	geboshangzoudelu,gbszdl
胳膊上走得马	geboshangzoudema,gbszdm
胳膊腕子	gebowanzi,gbwz
胳膊肘	gebozhou,gbz
胳膊肘朝外拐	gebozhouchaowaiguai,gbzcwg
胳膊肘儿	gebozhouer,gbze
胳膊肘往外拐	gebozhouwangwaiguai,gbzwwg
胳膊肘子	gebozhouzi,gbzz
胳揪	gejiu,gj
胳肢	gezhi,gz
胳肢窝	gezhiwo,gzw
胳胝儿	gezhier,gze
