虱病	shibing,sb
虱虫	shichong,sc
虱处裈	shichukun,sck
虱处裈中	shichukunzhong,sckz
虱多不痒	shiduobuyang,sdby
虱蛊	shigu,sg
虱官	shiguan,sg
虱虮	shiji,sj
虱瘕	shijia,sj
虱建草	shijiancao,sjc
虱胫虮肝	shijingjigan,sjjg
虱瘤	shiliu,sl
虱目鱼	shimuyu,smy
虱虱	shi,s
虱心	shixin,sx
虱蚁	shiyi,sy
虱蝇	shiying,sy
虱症	shizheng,sz
虱蛀	shizhu,sz
虱子	shizi,sz
