嫉病	jibing,jb
嫉妒	jidu,jd
嫉妒地	jidude,jdd
嫉妬	jidu,jd
嫉恶	jie,je
嫉恶如仇	jieruchou,jerc
嫉恶若仇	jieruochou,jerc
嫉愤	jifen,jf
嫉恨	jihen,jh
嫉毁	jihui,jh
嫉忌	ji,j
嫉盭	jili,jl
嫉媢	jimao,jm
嫉怒	jinu,jn
嫉视	jishi,js
嫉俗	jisu,js
嫉贪如雠	jitanruchou,jtrc
嫉闲妒能	jixianduneng,jxdn
嫉贤	jixian,jx
嫉贤傲士	jixianaoshi,jxas
嫉贤妒能	jixianduneng,jxdn
嫉邪	jixie,jx
嫉心	jixin,jx
嫉怨	jiyuan,jy
