亦步亦趋	yibuqu,ybq
亦称	yicheng,yc
亦敌亦友	yidiyou,ydy
亦都护	yiduhu,ydh
亦发	yifa,yf
亦复	yifu,yf
亦复如是	yifurushi,yfrs
亦何	yihe,yh
亦或	yihuo,yh
亦即	yiji,yj
亦可覆舟	yikefuzhou,ykfz
亦前	yiqian,yq
亦且	yiqie,yq
亦趋亦步	yiqubu,yqb
亦然	yiran,yr
亦声	yisheng,ys
亦世	yishi,ys
亦许	yixu,yx
亦用全力	yiyongquanli,yyql
亦有一得	yiyoude,yyd
亦庄	yizhuang,yz
亦庄亦谐	yizhuangxie,yzx
亦作	yizuo,yz
