熬熬	ao,a
熬熬汲汲	aoji,aj
熬熬煎煎	aojian,aj
熬波	aobo,ab
熬不过	aobuguo,abg
熬不住	aobuzhu,abz
熬菜	aocai,ac
熬茶	aocha,ac
熬肠刮肚	aochangguadu,acgd
熬愁	aochou,ac
熬出头	aochutou,act
熬稃	aofu,af
熬膏	aogao,ag
熬更守夜	aogengshouye,agsy
熬谷	aogu,ag
熬锅	aoguo,ag
熬活	aohuo,ah
熬煎	aojian,aj
熬姜呷醋	aojiangxiacu,ajxc
熬枯受淡	aokushoudan,aksd
熬困	aokun,ak
熬累	aolei,al
熬炼	aolian,al
熬磨	aomo,am
熬清守淡	aoqingshoudan,aqsd
熬清守谈	aoqingshoutan,aqst
熬清受淡	aoqingshoudan,aqsd
熬然	aoran,ar
熬日头	aoritou,art
熬肉	aorou,ar
熬审	aoshen,as
熬汤	aotang,at
熬头儿	aotouer,ate
熬心	aoxin,ax
熬心费力	aoxinfeili,axfl
熬刑	aoxing,ax
熬盐	aoyan,ay
熬眼	aoyan,ay
熬药	aoyao,ay
熬夜	aoye,ay
熬油	aoyou,ay
熬油费火	aoyoufeihuo,ayfh
熬月子	aoyuezi,ayz
熬炙	aozhi,az
熬煮	aozhu,az
