筛查	shaicha,sc
筛除	shaichu,sc
筛春	shaichun,sc
筛法	shaifa,sf
筛分	shaifen,sf
筛骨	shaigu,sg
筛寒洒白	shaihansabai,shsb
筛号	shaihao,sh
筛检	shaijian,sj
筛金	shaijin,sj
筛酒	shaijiu,sj
筛糠	shaikang,sk
筛帘	shailian,sl
筛滤	shailu,sl
筛罗	shailuo,sl
筛锣	shailuo,sl
筛锣擂鼓	shailuoleigu,sllg
筛锣掌号	shailuozhanghao,slzh
筛箩	shailuo,sl
筛落	shailuo,sl
筛汰	shaitai,st
筛瓦	shaiwa,sw
筛洗	shaixi,sx
筛选	shaixuan,sx
筛扬	shaiyang,sy
筛余	shaiyu,sy
筛渣	shaizha,sz
筛子	shaizi,sz
筛子喂驴	shaiziweilu,szwl
