敝敝	bi,b
敝肠	bichang,bc
敝撤	biche,bc
敝楮	bichu,bc
敝窦	bidou,bd
敝蠹	bidu,bd
敝恶	bie,be
敝房	bifang,bf
敝风	bifeng,bf
敝赋	bifu,bf
敝盖不弃	bigaibuqi,bgbq
敝鼓丧豚	bigusangtun,bgst
敝规	bigui,bg
敝鬼	bigui,bg
敝国	biguo,bg
敝褐	bihe,bh
敝化	bihua,bh
敝坏	bihuai,bh
敝甲	bijia,bj
敝苴	biju,bj
敝蹻	bijue,bj
敝力	bili,bl
敝裂	bilie,bl
敝陋	bilou,bl
敝庐	bilu,bl
敝弃	biqi,bq
敝裘	biqiu,bq
敝人	biren,br
敝舌	bishe,bs
敝室	bishi,bs
敝俗	bisu,bs
敝素	bisu,bs
敝绨恶粟	bitiesu,btes
敝綈恶粟	bitiesu,btes
敝帏	biwei,bw
敝帷	biwei,bw
敝帷不弃	biweibuqi,bwbq
敝膝	bixi,bx
敝习	bixi,bx
敝屣	bixi,bx
敝屣尊荣	bixizunrong,bxzr
敝蹝	bixi,bx
敝躧	bixi,bx
敝舃	bituo,bt
敝亵	bixie,bx
敝衣	biyi,by
敝衣粝食	biyilishi,byls
敝衣枵腹	biyixiaofu,byxf
敝邑	biyi,by
敝幽	biyou,by
敝政	bizheng,bz
敝帚	bizhou,bz
敝帚千金	bizhouqianjin,bzqj
敝帚自享	bizhouzixiang,bzzx
敝帚自珍	bizhouzizhen,bzzz
敝箒	bizhou,bz
敝卒	bizu,bz
