麝沉	shechen,sc
麝带	shedai,sd
麝灯	shedeng,sd
麝芬	shefen,sf
麝粉	shefen,sf
麝父	shefu,sf
麝篝	shegou,sg
麝笺	shejian,sj
麝牋	shejian,sj
麝酒	shejiu,sj
麝兰	shelan,sl
麝猫	shemao,sm
麝煤	shemei,sm
麝墨	shemo,sm
麝囊	shenang,sn
麝脑	shenao,sn
麝牛	sheniu,sn
麝脐	sheqi,sq
麝脐香	sheqixiang,sqx
麝衾	sheqin,sq
麝檀	shetan,st
麝幐	sheteng,st
麝团	shetuan,st
麝帏	shewei,sw
麝幄	shewo,sw
麝香	shexiang,sx
麝香草	shexiangcao,sxc
麝香骢	shexiangcong,sxc
麝香褐	shexianghe,sxh
麝香金	shexiangjin,sxj
麝香缡	shexiangli,sxl
麝香猫	shexiangmao,sxm
麝香山	shexiangshan,sxs
麝香石竹	shexiangshizhu,sxsz
麝烟	sheyan,sy
麝月	sheyue,sy
麝枕	shezhen,sz
麝炷	shezhu,sz
