摊薄	tanbo,tb
摊薄后每股盈利	tanbohoumeiguyingli,tbhmgyl
摊挡	tandang,td
摊档	tandang,td
摊点	tandian,td
摊儿	taner,te
摊贩	tanfan,tf
摊放	tanfang,tf
摊还	tanhai,th
摊黄菜	tanhuangcai,thc
摊鸡蛋	tanjidan,tjd
摊开	tankai,tk
摊牌	tanpai,tp
摊派	tanpai,tp
摊钱	tanqian,tq
摊晒	tanshai,ts
摊商	tanshang,ts
摊事儿	tanshier,tse
摊售	tanshou,ts
摊书傲百城	tanshuaobaicheng,tsabc
摊书拥百城	tanshuyongbaicheng,tsybc
摊提	tanti,tt
摊头	tantou,tt
摊位	tanwei,tw
摊销	tanxiao,tx
摊主	tanzhu,tz
摊子	tanzi,tz
