竟案	jingan,ja
竟旦	jingdan,jd
竟而	jinger,je
竟尔	jinger,je
竟敢	jinggan,jg
竟购	jinggou,jg
竟界	jingjie,jj
竟陵	jingling,jl
竟然	jingran,jr
竟日	jingri,jr
竟使遇哨	jingshiyushao,jsys
竟士	jingshi,js
竟世	jingshi,js
竟是	jingshi,js
竟岁	jingsui,js
竟体	jingti,jt
竟天	jingtian,jt
竟哇地一声	jingwadeyisheng,jwdys
竟尉	jingwei,jw
竟夕	jingxi,jx
竟夜	jingye,jy
竟已	jingyi,jy
竟直	jingzhi,jz
竟至	jingzhi,jz
竟自	jingzi,jz
