晒斑	shaiban,sb
晒场	shaichang,sc
晒翅	shaichi,sc
晒簟	shaidian,sd
晒犊鼻	shaidubi,sdb
晒腹	shaifu,sf
晒干	shaigan,sg
晒黑	shaihei,sh
晒客	shaike,sk
晒裂	shailie,sl
晒骆驼	shailuotuo,slt
晒暖	shainuan,sn
晒坪	shaiping,sp
晒曝	shaipu,sp
晒伤	shaishang,ss
晒书	shaishu,ss
晒台	shaitai,st
晒太阳	shaitaiyang,sty
晒田	shaitian,st
晒图	shaitu,st
晒娃	shaiwa,sw
晒娃族	shaiwazu,swz
晒席	shaixi,sx
晒衣绳	shaiyisheng,sys
晒友	shaiyou,sy
