伉暴	kangbao,kb
伉合	kanghe,kh
伉衡	kangheng,kh
伉急	kangji,kj
伉简	kangjian,kj
伉健	kangjian,kj
伉倨	kangju,kj
伉伉	gang,g
伉浪	ganglang,gl
伉礼	kangli,kl
伉厉	gangli,gl
伉俪	kangli,kl
伉俪情深	kangliqingshen,klqs
伉俍	kangliang,kl
伉偶	kangou,ko
伉声	kangsheng,ks
伉爽	gangshuang,gs
伉特	kangte,kt
伉王	kangwang,kw
伉侠	kangxia,kx
伉行	kangxing,kx
伉音	kangyin,ky
伉直	gangzhi,gz
伉壮	kangzhuang,kz
