宋白	songbai,sb
宋版	songban,sb
宋本	songben,sb
宋才潘面	songcaipanmian,scpm
宋朝	songchao,sc
宋楚瑜	songchuyu,scy
宋词	songci,sc
宋瓷	songci,sc
宋慈	songci,sc
宋磁	songci,sc
宋代	songdai,sd
宋杜	songdu,sd
宋方	songfang,sf
宋干节	songganjie,sgj
宋广平	songguangping,sgp
宋画吴冶	songhuawuye,shwy
宋徽宗	songhuizong,shz
宋家香	songjiaxiang,sjx
宋江	songjiang,sj
宋教仁	songjiaoren,sjr
宋斤鲁削	songjinluxue,sjlx
宋锦	songjin,sj
宋景诗	songjingshi,sjs
宋开府	songkaifu,skf
宋刻	songke,sk
宋臈	songla,sl
宋濂	songlian,sl
宋卢	songlu,sl
宋美龄	songmeiling,sml
宋女	songnu,sn
宋祁	songqi,sq
宋潜虚	songqianxu,sqx
宋椠	songqian,sq
宋墙	songqiang,sq
宋清	songqing,sq
宋庆龄	songqingling,sql
宋鹊	songque,sq
宋人	songren,sr
宋任穷	songrenqiong,srq
宋儒	songru,sr
宋嫂	songsao,ss
宋诗钞	songshichao,ssc
宋史	songshi,ss
宋书	songshu,ss
宋四大书	songsidashu,ssds
宋四家	songsijia,ssj
宋太祖	songtaizu,stz
宋体	songti,st
宋体字	songtizi,stz
宋亭	songting,st
宋文	songwen,sw
宋文鉴	songwenjian,swj
宋无忌	songwuji,swj
宋毋忌	songwuji,swj
宋五嫂	songwusao,sws
宋武帝	songwudi,swd
宋武帝刘裕	songwudiliuyu,swdly
宋武台	songwutai,swt
宋香	songxiang,sx
宋襄公	songxianggong,sxg
宋学	songxue,sx
宋艳	songyan,sy
宋玉	songyu,sy
宋玉东墙	songyudongqiang,sydq
宋玉田	songyutian,syt
宋玉宅	songyuzhai,syz
宋之的	songzhidi,szd
宋株	songzhu,sz
宋子	songzi,sz
宋祖英	songzuying,szy
