铿纯	kengchun,kc
铿尔	kenger,ke
铿拊	kengfu,kf
铿轰	kenghong,kh
铿訇	kenghong,kh
铿鍧	kenghong,kh
铿耾	kenghong,kh
铿鈜	kenghong,kh
铿锽	kenghuang,kh
铿戛	kengjia,kj
铿金霏玉	kengjinfeiyu,kjfy
铿金戛玉	kengjinjiayu,kjjy
铿铿	keng,k
铿亮	kengliang,kl
铿瞑	kengming,km
铿枪	kengqiang,kq
铿锵	kengqiang,kq
铿锵有力	kengqiangyouli,kqyl
铿镪顿挫	kengqiangduncuo,kqdc
铿然	kengran,kr
铿如	kengru,kr
铿润	kengrun,kr
铿耸	kengsong,ks
铿镗	kengtang,kt
铿响	kengxiang,kx
铿越	kengyue,ky
铿铮	kengzheng,kz
