丙氨酸	bingansuan,bas
丙丙	bing,b
丙部	bingbu,bb
丙辰	bingchen,bc
丙醇	bingchun,bc
丙等	bingdeng,bd
丙殿	bingdian,bd
丙丁	bingding,bd
丙二醇	bingerchun,bec
丙环唑	binghuanzuo,bhz
丙火	binghuo,bh
丙基	bingji,bj
丙鉴	bingjian,bj
丙科	bingke,bk
丙纶	binglun,bl
丙醚	bingmi,bm
丙明	bingming,bm
丙醛	bingquan,bq
丙三醇	bingsanchun,bsc
丙舍	bingshe,bs
丙申	bingshen,bs
丙酸氟替卡松	bingsuanfutikasong,bsftks
丙糖	bingtang,bt
丙酮	bingtong,bt
丙酮酸	bingtongsuan,bts
丙酮酸脱氢酶	bingtongsuantuoqingmei,btstqm
丙烷	bingwan,bw
丙魏	bingwei,bw
丙午	bingwu,bw
丙烯	bingxi,bx
丙烯腈	bingxijing,bxj
丙烯醛	bingxiquan,bxq
丙烯酸	bingxisuan,bxs
丙烯酸酯	bingxisuanzhi,bxsz
丙向	bingxiang,bx
丙型	bingxing,bx
丙型肝炎	bingxingganyan,bxgy
丙戌	bingxu,bx
丙穴	bingxue,bx
丙夜	bingye,by
丙寅	bingyin,by
丙种球蛋白	bingzhongqiudanbai,bzqdb
丙种射线	bingzhongshexian,bzsx
丙子	bingzi,bz
丙子胡乱	bingzihuluan,bzhl
丙子战争	bingzizhanzheng,bzzz
丙字库	bingziku,bzk
