虾霸	xiaba,xb
虾兵	xiabing,xb
虾兵蟹将	xiabingxiejiang,xbxj
虾菜	xiacai,xc
虾斗	xiadou,xd
虾干	xiagan,xg
虾弓子	xiagongzi,xgz
虾公	xiagong,xg
虾姑	xiagu,xg
虾蛄	xiagu,xg
虾鬼	xiagui,xg
虾蛤	xiage,xg
虾酣	xiahan,xh
虾虹	xiahong,xh
虾虎	xiahu,xh
虾虎鱼	xiahuyu,xhy
虾虎鱼科	xiahuyuke,xhyk
虾荒蟹乱	xiahuangxieluan,xhxl
虾臛	xiahuo,xh
虾酱	xiajiang,xj
虾饺	xiajiao,xj
虾魁	xiakui,xk
虾鬣	xialie,xl
虾蟆	hama,hm
虾蟆抱桂	hamabaogui,hmbg
虾蟆禅	hamachan,hmc
虾蟆车	hamache,hmc
虾蟆给事	hamajishi,hmjs
虾蟆更	hamageng,hmg
虾蟆护	hamahu,hmh
虾蟆精	hamajing,hmj
虾蟆镜	hamajing,hmj
虾蟆蓝	hamalan,hml
虾蟆陵	hamaling,hml
虾蟆泉	hamaquan,hmq
虾蟆台	hamatai,hmt
虾蟆头幡	hamatoufan,hmtf
虾蟆柝	hamatuo,hmt
虾蟆瘟	hamawen,hmw
虾蟆烟	hamayan,hmy
虾蟆窑	hamayao,hmy
虾蟆衣	hamayi,hmy
虾蟆粘	hamazhan,hmz
虾蟆子	hamazi,hmz
虾蟇	xiama,xm
虾蟇禅	xiamachan,xmc
虾蟇车	xiamache,xmc
虾蟇精	xiamajing,xmj
虾蟇陵	xiamaling,xml
虾蟇黏	xiamanian,xmn
虾蟇泉	xiamaquan,xmq
虾蟇台	xiamatai,xmt
虾蟇柝	xiamatuo,xmt
虾蟇衣	xiamayi,xmy
虾蟇子	xiamazi,xmz
虾米	xiami,xm
虾目	xiamu,xm
虾男	xianan,xn
虾女	xianu,xn
虾爬子	xiapazi,xpz
虾皮	xiapi,xp
虾蚾	xiabo,xb
虾青瓷	xiaqingci,xqc
虾胊	xiaqu,xq
虾仁	xiaren,xr
虾蝚丹树	xiaroudanshu,xrds
虾蛇	xiashe,xs
虾什蚂	xiashima,xsm
虾生	xiasheng,xs
虾头杯	xiatoubei,xtb
虾王	xiawang,xw
虾线	xiaxian,xx
虾蟹眼	xiaxieyan,xxy
虾蠏眼	xiaxieyan,xxy
虾须	xiaxu,xx
虾须帘	xiaxulian,xxl
虾须镯	xiaxuzhuo,xxz
虾蕈	xiaxun,xx
虾眼	xiayan,xy
虾腰	xiayao,xy
虾夷	xiayi,xy
虾夷葱	xiayicong,xyc
虾蛦	xiayi,xy
虾油	xiayou,xy
虾鱼	xiayu,xy
虾助	xiazhu,xz
虾子	xiazi,xz
