妻党	qidang,qd
妻弟	qidi,qd
妻儿	qier,qe
妻儿老少	qierlaoshao,qels
妻儿老小	qierlaoxiao,qelx
妻房	qifang,qf
妻夫	qifu,qf
妻服	qifu,qf
妻公	qigong,qg
妻宫	qigong,qg
妻管严	qiguanyan,qgy
妻舅	qijiu,qj
妻离子散	qilizisan,qlzs
妻略	qilue,ql
妻梅子鹤	qimeizihe,qmzh
妻孥	qinu,qn
妻妾	qiqie,qq
妻娶	qiqu,qq
妻荣夫贵	qirongfugui,qrfg
妻甥	qisheng,qs
妻室	qishi,qs
妻帑	qitang,qt
妻息	qixi,qx
妻小	qixiao,qx
妻谒	qiye,qy
妻子	qizi,qz
妻子般地	qizibande,qzbd
妻子似地	qizishide,qzsd
妻族	qizu,qz
