旃帛	zhanbo,zb
旃车	zhanche,zc
旃毳	zhancui,zc
旃廗	zhandai,zd
旃褐	zhanhe,zh
旃罽	zhanji,zj
旃旌	zhanjing,zj
旃罗含	zhanluohan,zlh
旃蒙	zhanmeng,zm
旃冕	zhanmian,zm
旃斾	zhanpei,zp
旃裘	zhanqiu,zq
旃戎	zhanrong,zr
旃蒻	zhanruo,zr
旃厦	zhansha,zs
旃檀	zhantan,zt
旃檀佛像	zhantanfoxiang,ztfx
旃檀瑞像	zhantanruixiang,ztrx
旃荼罗	zhantuluo,ztl
旃席	zhanxi,zx
旃衣	zhanyi,zy
旃茵	zhanyin,zy
旃帐	zhanzhang,zz
