凸凹	tuao,ta
凸版	tuban,tb
凸版印刷	tubanyinshua,tbys
凸杯	tubei,tb
凸边	tubian,tb
凸出	tuchu,tc
凸槌	tuchui,tc
凸度	tudu,td
凸多胞形	tuduobaoxing,tdbx
凸多边形	tuduobianxing,tdbx
凸多面体	tuduomianti,tdmt
凸耳	tuer,te
凸镜	tujing,tj
凸露	tulu,tl
凸轮	tulun,tl
凸轮轴	tulunzhou,tlz
凸面	tumian,tm
凸面地	tumiande,tmd
凸面镜	tumianjing,tmj
凸面体	tumianti,tmt
凸起	tuqi,tq
凸透镜	tutoujing,ttj
凸凸	tu,t
凸凸囊囊	tunang,tn
凸显	tuxian,tx
凸现	tuxian,tx
凸线	tuxian,tx
凸性	tuxing,tx
凸圆地	tuyuande,tyd
凸缘	tuyuan,ty
凸折线	tuzhexian,tzx
