看吧	kanba,kb
看板	kanban,kb
看板娘	kanbanniang,kbn
看碧成朱	kanbichengzhu,kbcz
看贬	kanbian,kb
看扁	kanbian,kb
看病	kanbing,kb
看不出	kanbuchu,kbc
看不出地	kanbuchude,kbcd
看不得	kanbude,kbd
看不懂	kanbudong,kbd
看不惯	kanbuguan,kbg
看不过	kanbuguo,kbg
看不过去	kanbuguoqu,kbgq
看不见	kanbujian,kbj
看不见地	kanbujiande,kbjd
看不起	kanbuqi,kbq
看不清	kanbuqing,kbq
看不上	kanbushang,kbs
看不上眼	kanbushangyan,kbsy
看不顺眼	kanbushunyan,kbsy
看不习惯	kanbuxiguan,kbxg
看不中	kanbuzhong,kbz
看财奴	kancainu,kcn
看财童子	kancaitongzi,kctz
看菜	kancai,kc
看菜吃饭	kancaichifan,kccf
看茶	kancha,kc
看差	kancha,kc
看产	kanchan,kc
看场	kanchang,kc
看成	kancheng,kc
看承	kancheng,kc
看城	kancheng,kc
看出	kanchu,kc
看穿	kanchuan,kc
看穿了地	kanchuanlede,kcld
看伺	kansi,ks
看错	kancuo,kc
看大流	kandaliu,kdl
看呆	kandai,kd
看待	kandai,kd
看淡	kandan,kd
看当	kandang,kd
看到	kandao,kd
看得	kande,kd
看得出	kandechu,kdc
看得懂	kandedong,kdd
看得过	kandeguo,kdg
看得过儿	kandeguoer,kdge
看得见	kandejian,kdj
看得见地	kandejian,kdj
看得起	kandeqi,kdq
看得清	kandeqing,kdq
看得上	kandeshang,kds
看得中	kandezhong,kdz
看地	kandi,kd
看低	kandi,kd
看点	kandian,kd
看跌	kandie,kd
看懂	kandong,kd
看督	kandu,kd
看垛钱	kanduoqian,kdq
看发	kanfa,kf
看法	kanfa,kf
看风	kanfeng,kf
看风色	kanfengse,kfs
看风使船	kanfengshichuan,kfsc
看风使舵	kanfengshiduo,kfsd
看风使帆	kanfengshifan,kfsf
看风驶船	kanfengshichuan,kfsc
看风行船	kanfengxingchuan,kfxc
看风转舵	kanfengzhuanduo,kfzd
看封	kanfeng,kf
看高	kangao,kg
看顾	kangu,kg
看官	kanguan,kg
看倌	kanguan,kg
看管	kanguan,kg
看惯	kanguan,kg
看果	kanguo,kg
看好	kanhao,kh
看候	kanhou,kh
看护	kanhu,kh
看花	kanhua,kh
看花人	kanhuaren,khr
看花眼	kanhuayan,khy
看活	kanhuo,kh
看家	kanjia,kj
看家本领	kanjiabenling,kjbl
看家本事	kanjiabenshi,kjbs
看家狗	kanjiagou,kjg
看家戏	kanjiaxi,kjx
看见	kanjian,kj
看阶	kanjie,kj
看街	kanjie,kj
看街楼	kanjielou,kjl
看景生情	kanjingshengqing,kjsq
看镜	kanjing,kj
看开	kankai,kk
看看	kan,k
看客	kanke,kk
看来	kanlai,kl
看乐子	kanlezi,klz
看冷暖	kanlengnuan,kln
看冷破	kanlengpo,klp
看理	kanli,kl
看楼	kanlou,kl
看漏	kanlou,kl
看落	kanluo,kl
看马	kanma,km
看脉	kanmai,km
看门	kanmen,km
看门狗	kanmengou,kmg
看门人	kanmenren,kmr
看命	kanming,km
看墓	kanmu,km
看囊钱	kannangqian,knq
看鸟人	kanniaoren,knr
看牌	kanpai,kp
看盘	kanpan,kp
看棚	kanpeng,kp
看破	kanpo,kp
看破红尘	kanpohongchen,kphc
看齐	kanqi,kq
看起来	kanqilai,kql
看起来是那样地	kanqilaishinayangde,kqlsnyd
看钱	kanqian,kq
看钱奴	kanqiannu,kqn
看乔	kanqiao,kq
看亲	kanqin,kq
看青	kanqing,kq
看轻	kanqing,kq
看清	kanqing,kq
看情况	kanqingkuang,kqk
看球	kanqiu,kq
看取	kanqu,kq
看觑	kanqu,kq
看热闹	kanrenao,krn
看人眉睫	kanrenmeijie,krmj
看人眉眼	kanrenmeiyan,krmy
看人说话	kanrenshuohua,krsh
看人下菜	kanrenxiacai,krxc
看人下菜碟儿	kanrenxiacaidieer,krxcde
看人行事	kanrenxingshi,krxs
看日子	kanrizi,krz
看杀	kansha,ks
看杀卫玠	kanshaweijie,kswj
看煞	kansha,ks
看上	kanshang,ks
看上去	kanshangqu,ksq
看设	kanshe,ks
看生见长	kanshengjianchang,ksjc
看生婆	kanshengpo,ksp
看食	kanshi,ks
看视	kanshi,ks
看守	kanshou,ks
看守内阁	kanshouneige,ksng
看守所	kanshousuo,kss
看守者	kanshouzhe,ksz
看书	kanshu,ks
看耍	kanshua,ks
看死	kansi,ks
看似	kansi,ks
看他不停地	kantabutingde,ktbtd
看台	kantai,kt
看头	kantou,kt
看头儿	kantouer,kte
看透	kantou,kt
看玩	kanwan,kw
看翫	kanwan,kw
看望	kanwang,kw
看席	kanxi,kx
看戏	kanxi,kx
看相	kanxiang,kx
看香头	kanxiangtou,kxt
看详	kanxiang,kx
看小	kanxiao,kx
看肖神	kanxiaoshen,kxs
看笑话	kanxiaohua,kxh
看循	kanxun,kx
看徇	kanxun,kx
看押	kanya,ky
看验	kanyan,ky
看养	kanyang,ky
看样	kanyang,ky
看样画葫芦	kanyanghuahulu,kyhhl
看样子	kanyangzi,kyz
看一看	kanyi,ky
看医生	kanyisheng,kys
看议	kanyi,ky
看语	kanyu,ky
看在	kanzai,kz
看在眼里	kanzaiyanli,kzyl
看盏	kanzhan,kz
看长	kanchang,kc
看涨	kanzhang,kz
看账先生	kanzhangxiansheng,kzxs
看着	kanzhe,kz
看着办	kanzheban,kzb
看着不管	kanzhebuguan,kzbg
看中	kanzhong,kz
看重	kanzhong,kz
看朱成碧	kanzhuchengbi,kzcb
看竹	kanzhu,kz
看庄	kanzhuang,kz
看准	kanzhun,kz
看准机会	kanzhunjihui,kzjh
看桌	kanzhuo,kz
看卓	kanzhuo,kz
看走眼	kanzouyan,kzy
看作	kanzuo,kz
看坐儿的	kanzuoerde,kzed
看座	kanzuo,kz
看做	kanzuo,kz
看做落	kanzuoluo,kzl
