吕安题凤	luantifeng,latf
吕贝克	lubeike,lbk
吕不韦	lubuwei,lbw
吕布	lubu,lb
吕布戟	lubuji,lbj
吕纯阳	luchunyang,lcy
吕洞宾	ludongbin,ldb
吕端大事不糊涂	luduandashibuhutu,lddsbht
吕傅	lufu,lf
吕葛	luge,lg
吕公	lugong,lg
吕公车	lugongche,lgc
吕公茭	lugongjiao,lgj
吕公书	lugongshu,lgs
吕公绦	lugongtao,lgt
吕公枕	lugongzhen,lgz
吕公子	lugongzi,lgz
吕管	luguan,lg
吕后筵	luhouyan,lhy
吕霍	luhuo,lh
吕嘉民	lujiamin,ljm
吕巨	luju,lj
吕钜	luju,lj
吕剧	luju,lj
吕览	lulan,ll
吕梁	luliang,ll
吕梁市	luliangshi,lls
吕律	lu,l
吕蒙	lumeng,lm
吕虔刀	luqiandao,lqd
吕塞尔斯海姆	lusaiersihaimu,lseshm
吕氏	lushi,ls
吕氏春秋	lushichunqiu,lscq
吕宋	lusong,ls
吕宋岛	lusongdao,lsd
吕宋海峡	lusonghaixia,lshx
吕宋烟	lusongyan,lsy
吕太后的筵席	lutaihoudeyanxi,lthdyx
吕太后的筵宴	lutaihoudeyan,lthdy
吕望	luwang,lw
吕渭	luwei,lw
吕翁	luweng,lw
吕武操莽	luwucaomang,lwcm
吕仙	luxian,lx
吕仙翁	luxianweng,lxw
吕相	luxiang,lx
吕刑	luxing,lx
吕牙	luya,ly
吕岩	luyan,ly
吕砚	luyan,ly
吕伊	luyi,ly
吕召	luzhao,lz
吕真人	luzhenren,lzr
吕政	luzheng,lz
吕祖	luzu,lz
吕祖师	luzushi,lzs
