卖傲	maiao,ma
卖百舌	maibaishe,mbs
卖本事	maibenshi,mbs
卖畚	maiben,mb
卖冰	maibing,mb
卖饼	maibing,mb
卖饼家	maibingjia,mbj
卖卜	maibu,mb
卖才	maicai,mc
卖菜佣	maicaiyong,mcy
卖查梨	maizhali,mzl
卖娼	maichang,mc
卖场	maichang,mc
卖唱	maichang,mc
卖逞	maicheng,mc
卖痴呆	maichidai,mcd
卖出	maichu,mc
卖串儿	maichuaner,mce
卖春	maichun,mc
卖春困	maichunkun,mck
卖大号	maidahao,mdh
卖大户	maidahu,mdh
卖大炕	maidakang,mdk
卖呆	maidai,md
卖刀买犊	maidaodu,mdd
卖倒	maidao,md
卖底	maidi,md
卖点	maidian,md
卖掉	maidiao,md
卖犊买刀	maidudao,mdd
卖渡	maidu,md
卖断	maiduan,md
卖恶	maie,me
卖恩	maien,me
卖儿贴妇	maiertiefu,metf
卖儿鬻女	maieryunu,meyn
卖法	maifa,mf
卖法市恩	maifashien,mfse
卖犯	maifan,mf
卖方	maifang,mf
卖方市场	maifangshichang,mfsc
卖访	maifang,mf
卖放	maifang,mf
卖风流	maifengliu,mfl
卖风情	maifengqing,mfq
卖服	maifu,mf
卖富	maifu,mf
卖富差贫	maifuchapin,mfcp
卖赋	maifu,mf
卖赋人	maifuren,mfr
卖膏药	maigaoyao,mgy
卖工	maigong,mg
卖工夫	maigongfu,mgf
卖公营私	maigongyingsi,mgys
卖功	maigong,mg
卖狗皮膏药	maigoupigaoyao,mgpgy
卖狗肉	maigourou,mgr
卖狗悬羊	maigouxuanyang,mgxy
卖瓜叟	maiguasou,mgs
卖卦	maigua,mg
卖乖	maiguai,mg
卖乖乖	maiguai,mg
卖乖弄俏	maiguainongqiao,mgnq
卖关节	maiguanjie,mgj
卖关子	maiguanzi,mgz
卖官	maiguan,mg
卖官贩爵	maiguanfanjue,mgfj
卖官卖爵	maiguanjue,mgj
卖官鬻爵	maiguanyujue,mgyj
卖官鬻狱	maiguanyu,mgy
卖光儿	maiguanger,mge
卖光了	maiguangle,mgl
卖贵	maigui,mg
卖国	maiguo,mg
卖国求利	maiguoqiuli,mgql
卖国求荣	maiguoqiurong,mgqr
卖国贼	maiguozei,mgz
卖国主义	maiguozhuyi,mgzy
卖好	maihao,mh
卖花	maihua,mh
卖荒	maihuang,mh
卖会	maihui,mh
卖昏	maihun,mh
卖婚	maihun,mh
卖货	maihuo,mh
卖祸	maihuo,mh
卖技	maiji,mj
卖家	maijia,mj
卖价	maijia,mj
卖奸	maijian,mj
卖剑	maijian,mj
卖剑买犊	maijiandu,mjd
