仕版	shiban,sb
仕朝	shichao,sc
仕道	shidao,sd
仕官	shiguan,sg
仕户	shihu,sh
仕宦	shihuan,sh
仕籍	shiji,sj
仕家	shijia,sj
仕进	shijin,sj
仕林	shilin,sl
仕流	shiliu,sl
仕禄	shilu,sl
仕路	shilu,sl
仕门	shimen,sm
仕女	shinu,sn
仕女班头	shinubantou,snbt
仕女画	shinuhua,snh
仕女图	shinutu,snt
仕贫	shipin,sp
仕涂	shitu,st
仕途	shitu,st
仕隐	shiyin,sy
仕止	shizhi,sz
仕子	shizi,sz
