棠茇	tangba,tb
棠棣	tangdi,td
棠棣碑	tangdibei,tdb
棠芾	tangfei,tf
棠干	tanggan,tg
棠朹子	tangguizi,tgz
棠户	tanghu,th
棠华	tanghua,th
棠郊成政	tangjiaochengzheng,tjcz
棠梨	tangli,tl
棠梨宫	tangligong,tlg
棠梨馆	tangliguan,tlg
棠棃	tangli,tl
棠棃馆	tangliguan,tlg
棠橹	tanglu,tl
棠木舫	tangmufang,tmf
棠梂子	tangqiuzi,tqz
棠树	tangshu,ts
棠树政	tangshuzheng,tsz
棠颂	tangsong,ts
棠棠	tang,t
棠铁	tangtie,tt
棠銕	tangyi,ty
棠溪	tangxi,tx
棠阴	tangyin,ty
棠政	tangzheng,tz
棠苎襕衫	tangzhulanshan,tzls
