勋臣	xunchen,xc
勋带	xundai,xd
勋德	xunde,xd
勋伐	xunfa,xf
勋阀	xunfa,xf
勋附	xunfu,xf
勋格	xunge,xg
勋官	xunguan,xg
勋贵	xungui,xg
勋号	xunhao,xh
勋华	xunhua,xh
勋级	xunji,xj
勋籍	xunji,xj
勋迹	xunji,xj
勋绩	xunji,xj
勋阶	xunjie,xj
勋旧	xunjiu,xj
勋爵	xunjue,xj
勋劳	xunlao,xl
勋力	xunli,xl
勋烈	xunlie,xl
勋门	xunmen,xm
勋名	xunming,xm
勋品	xunpin,xp
勋戚	xunqi,xq
勋望	xunwang,xw
勋卫	xunwei,xw
勋贤	xunxian,xx
勋效	xunxiao,xx
勋业	xunye,xy
勋勚	xunyi,xy
勋荫	xunyin,xy
勋廕	xunyin,xy
勋庸	xunyong,xy
勋章	xunzhang,xz
