垢坌	gouben,gb
垢敝	goubi,gb
垢弊	goubi,gb
垢獘	goubi,gb
垢病	goubing,gb
垢尘	gouchen,gc
垢耻	gouchi,gc
垢黩	goudu,gd
垢蠧	goudu,gd
垢蠹	goudu,gd
垢纷	goufen,gf
垢氛	goufen,gf
垢秽	gouhui,gh
垢累	goulei,gl
垢厉	gouli,gl
垢面	goumian,gm
垢面蓬头	goumianpengtou,gmpt
垢泥	gouni,gn
垢腻	gouni,gn
垢染	gouran,gr
垢辱	gouru,gr
垢俗	gousu,gs
垢玩	gouwan,gw
垢翫	gouwan,gw
垢污	gouwu,gw
垢洿	gouwu,gw
垢误	gouwu,gw
垢浊	gouzhuo,gz
垢滓	gouzi,gz
