庖厨	paochu,pc
庖代	paodai,pd
庖丁	paoding,pd
庖丁解牛	paodingjieniu,pdjn
庖鼎	paoding,pd
庖阍	paohun,ph
庖脍	paokuai,pk
庖廪	paolin,pl
庖疈	paopi,pp
庖人	paoren,pr
庖膳	paoshan,ps
庖霜	paoshuang,ps
庖餗	paosu,ps
庖突	paotu,pt
庖娲	paowa,pw
庖屋	paowu,pw
庖西书	paoxishu,pxs
庖牺	paoxi,px
庖牺氏	paoxishi,pxs
庖羲	paoxi,px
庖戏	paoxi,px
庖羞	paoxiu,px
庖宰	paozai,pz
庖正	paozheng,pz
庖炙	paozhi,pz
庖馔	paozhuan,pz
庖子	paozi,pz
