敢把皇帝拉下马	ganbahuangdilaxiama,gbhdlxm
敢保	ganbao,gb
敢不	ganbu,gb
敢不承命	ganbuchengming,gbcm
敢不从命	ganbucongming,gbcm
敢达	ganda,gd
敢打敢冲	gandachong,gdc
敢待	gandai,gd
敢当	gandang,gd
敢断	ganduan,gd
敢干	gan,g
敢悍	ganhan,gh
敢谏鼓	ganjiangu,gjg
敢决	ganjue,gj
敢莫	ganmo,gm
敢怒而不敢言	gannuerbuyan,gneby
敢怒敢言	gannuyan,gny
敢怕	ganpa,gp
敢情	ganqing,gq
敢任	ganren,gr
敢士	ganshi,gs
敢是	ganshi,gs
敢死	gansi,gs
敢死队	gansidui,gsd
敢死士	gansishi,gss
敢往	ganwang,gw
敢为	ganwei,gw
敢为敢做	ganweizuo,gwz
敢为人先	ganweirenxian,gwrx
敢问	ganwen,gw
敢想	ganxiang,gx
敢许	ganxu,gx
敢言	ganyan,gy
敢言之	ganyanzhi,gyz
敢毅	ganyi,gy
敢勇	ganyong,gy
敢勇当先	ganyongdangxian,gydx
敢于	ganyu,gy
敢怨而不敢言	ganyuanerbuyan,gyeby
敢则	ganze,gz
敢则是	ganzeshi,gzs
敢直	ganzhi,gz
敢只是	ganzhishi,gzs
敢子是	ganzishi,gzs
敢仔	ganzai,gz
敢自	ganzi,gz
敢作敢当	ganzuodang,gzd
敢作敢为	ganzuowei,gzw
敢做敢当	ganzuodang,gzd
敢做敢为	ganzuowei,gzw
