册拜	cebai,cb
册宝	cebao,cb
册除	cechu,cc
册对	cedui,cd
册封	cefeng,cf
册府	cefu,cf
册府元龟	cefuyuangui,cfyg
册功	cegong,cg
册函	cehan,ch
册亨	ceheng,ch
册亨县	cehengxian,chx
册籍	ceji,cj
册祭	ceji,cj
册礼	celi,cl
册历	celi,cl
册立	celi,cl
册免	cemian,cm
册名	ceming,cm
册命	ceming,cm
册谥	ceshi,cs
册授	ceshou,cs
册书	ceshu,cs
册襚	cesui,cs
册文	cewen,cw
册玺	cexi,cx
册匣	cexia,cx
册勋	cexun,cx
册叶	ceye,cy
册页	ceye,cy
册印	ceyin,cy
册赠	cezeng,cz
册正	cezheng,cz
册祝	cezhu,cz
册錣	cezhui,cz
册子	cezi,cz
册奏	cezou,cz
