祀场	sichang,sc
祀祷	sidao,sd
祀典	sidian,sd
祀奉	sifeng,sf
祀贡	sigong,sg
祀姑	sigu,sg
祀孤	sigu,sg
祀纪	siji,sj
祀祭	siji,sj
祀孔	sikong,sk
祀礼	sili,sl
祀命	siming,sm
祀曲	siqu,sq
祀麴	siqu,sq
祀舍	sishe,ss
祀社	sishe,ss
祀神	sishen,ss
祀牲	sisheng,ss
祀坛	sitan,st
祀堂	sitang,st
祀天	sitian,st
祀田	sitian,st
祀土	situ,st
祀物	siwu,sw
祀享	sixiang,sx
祀仪	siyi,sy
祀禜	siyong,sy
祀灶	sizao,sz
祀灶日	sizaori,szr
