丸赤白	wanchibai,wcb
丸丹	wandan,wd
丸封	wanfeng,wf
丸擀	wangan,wg
丸鼓	wangu,wg
丸捍	wanhan,wh
丸剂	wanji,wj
丸髻	wanji,wj
丸剑	wanjian,wj
丸兰	wanlan,wl
丸粒	wanli,wl
丸卵	wanluan,wl
丸墨	wanmo,wm
丸泥	wanni,wn
丸泥封关	wannifengguan,wnfg
丸散	wansan,ws
丸散膏丹	wansangaodan,wsgd
丸山	wanshan,ws
丸丸	wan,w
丸熊	wanxiong,wx
丸药	wanyao,wy
丸药膏丹	wanyaogaodan,wygd
丸转	wanzhuan,wz
丸子	wanzi,wz
