簸粃	bobi,bb
簸采	bocai,bc
簸蝩	bochong,bc
簸荡	bodang,bd
簸掉	bodiao,bd
簸动	bodong,bd
簸顿	bodun,bd
簸恶	boe,be
簸谷	bogu,bg
簸箕	boji,bj
簸箕虫	bojichong,bjc
簸箕星	bojixing,bjx
簸箕掌	bojizhang,bjz
簸罗	boluo,bl
簸罗回	boluohui,blh
簸逻回	boluohui,blh
簸箩	boluo,bl
簸弄	bonong,bn
簸钱	boqian,bq
簸籭	boshai,bs
簸汰	botai,bt
簸腾	boteng,bt
簸土扬沙	botuyangsha,btys
簸行	boxing,bx
簸扬	boyang,by
簸扬糠秕	boyangkangbi,bykb
簸扬糠粃	boyangkangbi,bykb
簸飏	boyang,by
簸运	boyun,by
簸之扬之	bozhiyang,bzy
