瞬动	shundong,sd
瞬发辐射	shunfafushe,sffs
瞬发中子	shunfazhongzi,sfzz
瞬忽	shunhu,sh
瞬华	shunhua,sh
瞬间	shunjian,sj
瞬间地	shunjiande,sjd
瞬间转移	shunjianzhuanyi,sjzy
瞬刻	shunke,sk
瞬膜	shunmo,sm
瞬目	shunmu,sm
瞬盼	shunpan,sp
瞬然	shunran,sr
瞬霎	shunsha,ss
瞬睒	shunshan,ss
瞬时	shunshi,ss
瞬时辐射	shunshifushe,ssfs
瞬视	shunshi,ss
瞬瞚	shun,s
瞬态	shuntai,st
瞬息	shunxi,sx
瞬息间	shunxijian,sxj
瞬息千变	shunxiqianbian,sxqb
瞬息万变	shunxiwanbian,sxwb
瞬息万状	shunxiwanzhuang,sxwz
瞬息之间	shunxizhijian,sxzj
瞬心	shunxin,sx
瞬眼	shunyan,sy
